Ethnicity Unknown or Not Reported,,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Geosciences,ATMO,,,,,,,,,,,,,,,
,ENGS,,,,,,,,,,,,,,,
,ENST,,,,,,,,,,,,,,,
,GEOG,,,,,,,,,,1,1,,,1,
,GEOL,,,,,,,,1,1,,,,,1,
,GEOP,,,,,,,,,,,,,,,
,GEOS,,,,,,,,,,,,,,,
,MARB,,,,,,,,,,,,,,,
,METR,,,,,,,,,,,,,,,
,OCNG,,,,,,,,1,1,,,,,1,
,SPSG,,,,,,,,,,,,,,,
,USGE,,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,,,,,,,,2,2,1,1,,,3,
Liberal Arts,AMST,,,,,,,,,,,,,,,
,ANTH,,,,,,,,,,1,1,,,1,
,CLSS,,,,,,,,,,,,,,,
,COMM,,,1,,,1,,,,,,,,1,
,ECON,,1,1,,,2,,,,,,,,2,
,ENGL,,,,1,,1,,,,,,,,1,
,FREN,,,,,,,,,,,,,,,
,GERM,,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,,
,HIST,,2,,,,2,,,,2,2,,,4,
,INTS,1,,,,,1,,,,,,,,1,
,MODL,,,,,,,,,,,,,,,
,MUSC,,,1,,,1,,,,,,,,1,
,NRSC,,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,,
,PERF,,,,,,,,,,,,,,,
,PHIL,,,,,,,,2,2,,,,,2,
,POLS,1,2,2,,,5,,,,,,,,5,
,PSYC,2,1,,2,,5,,,,,,,,5,
,RUSS,,,,,,,,,,,,,,,
,SOCI,,,1,,,1,,,,1,1,,,2,
,SPAN,,,,1,,1,,,,,,,,1,
,TCMS,,,,,,,,,,,,,,,
,THAR,,,,,,,,,,,,,,,
,USLA,,,,,,,,,,,,,,,
,WGST,,,,,,,,,,,,,,,
,Subtotal,4,6,6,4,,20,,2,2,4,4,,,26,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
