Ethnicity Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,SPSA,,,3,2,,5,,,,,,,,5,
,TOXI,,,,,,,,,,1,1,,,1,
,USAL,,,4,11,,15,,,,,,,,15,
,WFSC,8,9,30,35,1,83,,11,11,12,12,,,106,
,WISC,,,,,,,,2,2,,,,,2,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,71,113,225,327,4,740,2,59,61,47,47,,,848,
Architecture,ARCH,,,,,,,1,13,14,3,3,,,17,
,COMG,,,,,,,,3,3,,,,,3,
,COSC,,1,10,32,1,44,,,,,,,,44,
,COSL,6,17,8,3,,34,,,,,,,,34,
,ENDL,15,17,9,3,,44,,,,,,,,44,
,ENDS,,,4,33,,37,,,,,,,,37,
,LAND,,,4,8,,12,,,,,,,,12,
,LANL,6,5,2,,,13,,,,,,,,13,
,LDEV,,,,,,,,4,4,,,,,4,
,URPL,,,,,,,,3,3,,,,,3,
,URSC,2,5,6,9,,22,,,,1,1,,,23,
,USAR,,,2,10,,12,,,,,,,,12,
,VISL,5,6,4,4,,19,,,,,,,,19,
,VIST,,,1,4,,5,,6,6,,,,,11,
,Subtotal,34,51,50,106,1,242,1,29,30,4,4,,,276,
Business Admin,ACCT,,,23,33,,56,,10,10,,,,,66,
,AGBU,,,,,,,,,,,,,,,
,BHNR,,,4,3,,7,,,,,,,,7,
,BUAD,85,90,28,,,203,,5,5,,,,,208,
,BUAG,,,,,,,,,,,,,,,
,EMBA,,,,,,,,17,17,,,,,17,
,FINC,,,19,35,,54,,4,4,1,1,,,59,
,INFO,,,18,40,,58,,,,,,,,58,
,MGMT,,,4,22,,26,,2,2,,,,,28,
,MISY,,,,,,,,7,7,,,,,7,
,MKTG,,1,12,39,,52,,3,3,,,,,55,
,MLER,,,,,,,,3,3,,,,,3,
,USBU,,,4,6,,10,,,,,,,,10,
,Subtotal,85,91,112,178,,466,,51,51,1,1,,,518,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
