Headcount by Major by Level Spring 2011,,,,,,,
Spring 2011,,Undergraduate,Masters,PhD,Professional,Total,
Agriculture,PREP,,11,10,,21,
,PSSC,6,,,,6,
,RENR,48,,,,48,
,RLEM,55,26,27,,108,
,RPTS,338,30,34,,402,
,RRDV,,2,,,2,
,SOSC,,14,16,,30,
,SPSA,36,,,,36,
,TOXI,,,1,,1,
,USAL,148,,,,148,
,WFSC,389,54,60,,503,
,WISC,,13,,,13,
,WMHS,,12,3,,15,
,Subtotal,"5,265",738,615,,"6,618",
Architecture,ARCH,,109,51,,160,
,COMG,,34,,,34,
,COSC,370,,,,370,
,COSL,216,,,,216,
,ENDL,170,,,,170,
,ENDS,177,,,,177,
,LAND,81,33,,,114,
,LANL,39,,,,39,
,LDEV,,36,,,36,
,URPL,,47,,,47,
,URSC,73,1,53,,127,
,USAR,42,,,,42,
,VISL,119,,,,119,
,VIST,43,71,,,114,
,Subtotal,"1,330",331,104,,"1,765",
"Prepared by OISP, 29 Mar 11",,,,,,,
