Ethnicity American Indian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Geosciences,ATMO,,,,,,,,,,,,,,,
,ENGS,,,1,,,1,,,,,,,,1,
,ENST,,,,,,,,,,,,,,,
,GEOG,,1,,,,1,,,,,,,,1,
,GEOL,,,,,,,,,,,,,,,
,GEOP,,,,,,,,,,,,,,,
,GEOS,,,,,,,,,,,,,,,
,MARB,,,,,,,,,,,,,,,
,METR,,,,,,,,,,,,,,,
,OCNG,,,,,,,,,,,,,,,
,SPSG,,,,,,,,,,,,,,,
,USGE,,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,,1,1,,,2,,,,,,,,2,
Liberal Arts,AMST,,,,,,,,,,,,,,,
,ANTH,,1,,,,1,,,,,,,,1,
,CLSS,,,,,,,,,,,,,,,
,COMM,1,2,1,1,,5,,,,,,,,5,
,ECON,1,,1,,,2,,,,,,,,2,
,ENGL,,,2,3,,5,,,,,,,,5,
,FREN,,,,,,,,,,,,,,,
,GERM,,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,,
,HIST,,,,2,,2,,,,,,,,2,
,INTS,,,1,,,1,,,,,,,,1,
,MODL,,,,,,,,,,,,,,,
,MUSC,,,,,,,,,,,,,,,
,NRSC,,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,,
,PERF,,,,,,,,,,,,,,,
,PHIL,,,1,,,1,,,,1,1,,,2,
,POLS,,1,1,,,2,,,,,,,,2,
,PSYC,,,2,2,,4,,,,,,,,4,
,RUSS,,,,,,,,,,,,,,,
,SOCI,,1,1,1,,3,,,,1,1,,,4,
,SPAN,,,,,,,,,,,,,,,
,TCMS,,,,,,,,,,,,,,,
,THAR,,,,,,,,,,,,,,,
,USLA,,,,,,,,,,,,,,,
,WGST,,,,,,,,,,,,,,,
,Subtotal,2,5,10,9,,26,,,,2,2,,,28,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
