Top 10,,,,,,,,,
Spring 2011 Feeder Patterns First Time In College,,,,,,,,,
Texas County   Students  % Total,,,,,,,,,
Harris,,,21,,17.8%,,,,
Bell,,,5,,4.2%,,,,
Brazos,,,5,,4.2%,,,,
Montgomery,,,5,,4.2%,,,,
Collin,,,4,,3.4%,,,,
Bexar,,,4,,3.4%,,,,
Galveston,,,4,,3.4%,,,,
Williamson,,,4,,3.4%,,,,
Kendall,,,3,,2.5%,,,,
Tarrant,,,3,,2.5%,,,,
State,Students  % Total,,,,,,,,
Texas,93,,,78.8%,,,,,
New York,1,,,0.8%,,,,,
New Jersey,1,,,0.8%,,,,,
Nebraska,1,,,0.8%,,,,,
Maryland,1,,,0.8%,,,,,
Colorado,1,,,0.8%,,,,,
Arkansas,1,,,0.8%,,,,,
Arizona,1,,,0.8%,,,,,
Country,,Students  % Total,,,,,,,
United States,,99,,,,83.9%,,,
India,,4,,,,3.4%,,,
Mexico,,3,,,,2.5%,,,
Oman,,1,,,,0.8%,,,
Nicaragua,,1,,,,0.8%,,,
New Zealand,,1,,,,0.8%,,,
Germany,,1,,,,0.8%,,,
Costa Rica,,1,,,,0.8%,,,
Colombia,,1,,,,0.8%,,,
Brazil,,1,,,,0.8%,,,
