Headcount by Major by Level Spring 2011,,,,,,,
Spring 2011,,Undergraduate,Masters,PhD,Professional,Total,
Liberal Arts,SPAN,88,,,,88,
,TCMS,149,,,,149,
,THAR,44,,,,44,
,USLA,10,,,,10,
,WGST,14,,,,14,
,Subtotal,"6,286",255,501,,"7,042",
Science,APHY,,,8,,8,
,APMS,111,,,,111,
,BIOL,"1,187",23,44,,"1,254",
,BMCB,103,,,,103,
,BOTN,,,3,,3,
,CHEM,214,78,196,,488,
,GENE,,,3,,3,
,MATH,216,61,78,,355,
,MBIO,76,4,12,,92,
,MEPS,,,2,,2,
,MSEN,,,1,,1,
,PHYS,132,55,105,,292,
,STAT,,118,56,,174,
,USSC,18,,,,18,
,ZOOL,87,2,14,,103,
,Subtotal,"2,144",341,522,,"3,007",
Veterinary Medicine,BIMS,"1,468",41,34,,"1,543",
,GENE,,1,5,,6,
,LAMD,,4,,,4,
,STJR,,9,,,9,
,TOXI,,4,12,,16,
,USVM,1,,,,1,
,VMSC,,1,,,1,
,VPAT,,3,10,,13,
,VPHY,,,1,,1,
,VTMD,,,,514,514,
,VTMI,,1,11,,12,
,VTMS,,1,,,1,
,Subtotal,"1,469",65,73,514,"2,121",
General Studies,GEST,"3,656",,,,"3,656",
,TEAM,836,,,,836,
,Subtotal,"4,492",,,,"4,492",
"Prepared by OISP, 29 Mar 11",,,,,,,
