Ethnicity International,,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Education,BIED,,,,,,,,2,2,,,,,2,
,CPSY,,,,,,,,,,1,1,,,1,
,EDAD,,,,,,,,1,1,,,,,1,
,EDCI,,,,,,,,24,24,31,31,,,55,
,EDHL,,,,,,,,,,,,,,,
,EDIS,,,2,,,2,,,,,,,,2,
,EDKI,2,1,,,,3,,,,,,,,3,
,EDSM,,1,,,,1,,,,,,,,1,
,EDTC,,,,,,,,6,6,,,,,6,
,EHRD,,,,,,,,11,11,11,11,,,22,
,EPSY,,,,,,,,9,9,23,23,,,32,
,HEED,,,,,,,,1,1,3,3,,,4,
,HLTH,,,,,,,,,,,,,,,
,HRDL,,1,,,,1,,,,,,,,1,
,HRDV,,,,1,,1,,,,,,,,1,
,INST,,,,2,,2,,,,,,,,2,
,ISNC,,,,,,,,,,,,,,,
,KINE,,,,1,,1,,13,13,12,12,,,26,
,NUTR,,,,,,,,,,,,,,,
,PHED,,,,,,,,,,,,,,,
,SPED,,,,,,,,,,,,,,,
,SPMT,,,,,,,,4,4,,,,,4,
,SPSY,,,,,,,,,,2,2,,,2,
,TCMG,,,,,,,,,,,,,,,
,TCML,,,,,,,,,,,,,,,
,TECR,,,,,,,,,,,,,,,
,USEH,,,,,,,,,,,,,,,
,Subtotal,2,3,2,4,,11,,71,71,83,83,,,165,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
