Ethnicity American Indian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,SPSA,,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,,
,USAL,,,,,,,,,,,,,,,
,WFSC,,,1,1,,2,,2,2,,,,,4,
,WISC,,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,,5,11,14,,30,,4,4,1,1,,,35,
Architecture,ARCH,,,,,,,,1,1,1,1,,,2,
,COMG,,,,,,,,,,,,,,,
,COSC,,,1,3,,4,,,,,,,,4,
,COSL,,,,,,,,,,,,,,,
,ENDL,,,,,,,,,,,,,,,
,ENDS,,,,1,,1,,,,,,,,1,
,LAND,,,,,,,,,,,,,,,
,LANL,,,,,,,,,,,,,,,
,LDEV,,,,,,,,,,,,,,,
,URPL,,,,,,,,1,1,,,,,1,
,URSC,,,,1,,1,,,,,,,,1,
,USAR,,,,,,,,,,,,,,,
,VISL,,,,1,,1,,,,,,,,1,
,VIST,,,,,,,,,,,,,,,
,Subtotal,,,1,6,,7,,2,2,1,1,,,10,
Business Admin,ACCT,,,,1,,1,,1,1,,,,,2,
,AGBU,,,,,,,,,,,,,,,
,BHNR,,,1,1,,2,,,,,,,,2,
,BUAD,,2,1,,,3,,,,,,,,3,
,BUAG,,,,,,,,,,,,,,,
,EMBA,,,,,,,,,,,,,,,
,FINC,,,,2,,2,,1,1,,,,,3,
,INFO,,,,,,,,,,,,,,,
,MGMT,,,,1,,1,,,,,,,,1,
,MISY,,,,,,,,,,,,,,,
,MKTG,,,,,,,,,,,,,,,
,MLER,,,,,,,,,,,,,,,
,USBU,,,,,,,,,,,,,,,
,Subtotal,,2,2,5,,9,,2,2,,,,,11,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
