Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
France,11,11,4,,26,
Gabon Republic,4,,,,4,
Georgia (C.I.S.),,1,1,,2,
Germany,6,6,6,,18,
Ghana,,8,1,,9,
Greece,1,,3,,4,
Grenada,,,1,,1,
Guatemala,8,4,3,,15,
Honduras,11,1,3,,15,
Hong Kong,9,1,5,,15,
Hungary,1,,,,1,
India,36,492,243,,771,
Indonesia,9,12,7,,28,
Iran,,29,100,,129,
Iraq,3,7,,,10,
Ireland,,1,,,1,
Israel,2,,,,2,
Italy,,4,6,,10,
Jamaica,4,,3,,7,
Japan,3,8,17,,28,
Jordan,,3,8,,11,
Kazakhstan,14,2,1,,17,
Kenya,1,1,5,,7,
"Korea, Republic of",43,107,332,,482,
Kuwait,3,2,1,,6,
Latvia,1,,,,1,
Lebanon,1,4,9,,14,
Libya,,3,2,,5,
Lithuania,1,,,,1,
Macao,2,1,,,3,
Madagascar,,1,,,1,
Malaysia,17,4,7,,28,
Mauritius,,,1,,1,
Mexico,40,24,57,,121,
Mongolia,,1,,,1,
Morocco,1,1,2,,4,
Nepal,32,9,11,,52,
Netherlands,1,,1,,2,
New Zealand,3,,3,,6,
Nicaragua,4,2,,,6,
Nigeria,9,18,10,,37,
Norway,2,1,2,,5,
Oman,1,,3,,4,
Page 146,,,,,,
