Top 10,,,,,,,,
Spring 2011 Feeder Patterns New Graduate,,,,,,,,
Country,,,Students  % Total,,,,,
United States,,,588,,,61.8%,,
"China, People's Rep of",,,107,,,11.3%,,
India,,,61,,,6.4%,,
Iran,,,42,,,4.4%,,
"Korea, Republic of",,,40,,,4.2%,,
Turkey,,,16,,,1.7%,,
Taiwan,,,13,,,1.4%,,
Egypt (A.R.E.),,,10,,,1.1%,,
Colombia,,,7,,,0.7%,,
Mexico,,,6,,,0.6%,,
Texas County   Students  % Total,,,,,,,,
Harris,,79,,,8.3%,,,
Brazos,,52,,,5.5%,,,
Bexar,,21,,,2.2%,,,
Fort Bend,,20,,,2.1%,,,
Travis,,18,,,1.9%,,,
Dallas,,17,,,1.8%,,,
Collin,,17,,,1.8%,,,
Tarrant,,15,,,1.6%,,,
Montgomery,,13,,,1.4%,,,
Williamson,,10,,,1.1%,,,
State,Students  % Total,,,,,,,
Texas,437,,,46.0%,,,,
California,25,,,2.6%,,,,
Washington,7,,,0.7%,,,,
Pennsylvania,7,,,0.7%,,,,
New Jersey,7,,,0.7%,,,,
Louisiana,7,,,0.7%,,,,
New York,7,,,0.7%,,,,
Indiana,7,,,0.7%,,,,
Puerto Rico,6,,,0.6%,,,,
Illinois,6,,,0.6%,,,,
