Ethnicity White Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Science,APHY,,,,,,,,,,4,4,,,4,
,APMS,15,15,12,32,1,75,,,,,,,,75,
,BIOL,142,118,155,239,3,657,1,7,8,19,19,,,684,
,BMCB,12,7,10,29,,58,,,,,,,,58,
,BOTN,,,,,,,,,,2,2,,,2,
,CHEM,22,25,30,54,2,133,,31,31,73,73,,,237,
,GENE,,,,,,,,,,2,2,,,2,
,MATH,29,36,28,58,,151,3,32,35,19,19,,,205,
,MBIO,10,10,9,17,,46,,1,1,5,5,,,52,
,MEPS,,,,,,,,,,,,,,,
,MSEN,,,,,,,,,,,,,,,
,PHYS,33,13,13,29,,88,,20,20,38,38,,,146,
,STAT,,,,,,,24,48,72,7,7,,,79,
,USSC,,,5,9,,14,,,,,,,,14,
,ZOOL,19,17,19,19,,74,,2,2,13,13,,,89,
,Subtotal,282,241,281,486,6,"1,296",28,141,169,182,182,,,"1,647",
Veterinary Medicine,BIMS,202,235,205,335,,977,1,25,26,11,11,,,"1,014",
,GENE,,,,,,,,1,1,5,5,,,6,
,LAMD,,,,,,,,2,2,,,,,2,
,STJR,,,,,,,,3,3,,,,,3,
,TOXI,,,,,,,,1,1,7,7,,,8,
,USVM,,,,,,,,,,,,,,,
,VMSC,,,,,,,,1,1,,,,,1,
,VPAT,,,,,,,,2,2,7,7,,,9,
,VPHY,,,,,,,,,,1,1,,,1,
,VTMD,,,,,,,,,,,,437,437,437,
,VTMI,,,,,,,,1,1,5,5,,,6,
,VTMS,,,,,,,,1,1,,,,,1,
,Subtotal,202,235,205,335,,977,1,37,38,36,36,437,437,"1,488",
General Studies,GEST,996,"1,230",192,1,,"2,419",,,,,,,,"2,419",
,TEAM,450,198,12,,,660,,,,,,,,660,
,Subtotal,"1,446","1,428",204,1,,"3,079",,,,,,,,"3,079",
Other - Special Populations,MARB,,,,,,,,2,2,,,,,2,
,MARM,,,,,,,,3,3,,,,,3,
,MDSC,,,,,,,2,,2,,,,,2,
,OCRE,,,,1,,1,,,,,,,,1,
,PHLT,,,,,,,6,,6,,,,,6,
,REEP,,,,1,,1,,,,,,,,1,
,Subtotal,,,,2,,2,8,5,13,,,,,15,
University,Total,"4,089","5,870","6,350","10,256",98,"26,663",193,"2,415","2,608","1,384","1,384",437,437,"31,092",
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
