Ethnicity 2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Engineering,AERL,7,2,,,,9,,,,,,,,9,
,AERO,,1,1,7,,9,,2,2,,,,,11,
,BMEL,6,1,,,,7,,,,,,,,7,
,BMEN,,,2,5,,7,,1,1,,,,,8,
,CECL,1,1,,,,2,,,,,,,,2,
,CECN,,,1,3,,4,,1,1,,,,,5,
,CEEL,3,2,1,,,6,,,,,,,,6,
,CEEN,,,,1,,1,,,,,,,,1,
,CHEL,2,2,,,,4,,,,,,,,4,
,CHEN,,,2,5,1,8,,1,1,,,,,9,
,CPSC,,,,1,,1,,1,1,1,1,,,3,
,CPSL,2,2,,1,,5,,,,,,,,5,
,CVEL,3,1,,,,4,,,,,,,,4,
,CVEN,,1,3,3,,7,,,,1,1,,,8,
,ELEL,3,2,5,,,10,,,,,,,,10,
,ELEN,,,3,1,,4,,3,3,1,1,,,8,
,ENGR,,,,,,,,,,,,,,,
,ENSM,,,,,,,,,,,,,,,
,ENTC,,,2,4,,6,,,,,,,,6,
,ENTL,,,,,,,,,,,,,,,
,HLPH,,,,,,,,,,,,,,,
,IDIL,2,1,,,,3,,,,,,,,3,
,IDIS,,,1,1,,2,,,,,,,,2,
,INEL,1,1,1,,,3,,,,,,,,3,
,INEN,,1,1,3,,5,,,,,,,,5,
,ITDE,,,,,,,,,,,,,,,
,MEEL,5,3,,,,8,,,,,,,,8,
,MEEN,,1,2,3,,6,,2,2,,,,,8,
,MSEN,,,,,,,,1,1,,,,,1,
,NUEL,,,,,,,,,,,,,,,
,NUEN,,,1,1,,2,,2,2,,,,,4,
,OCEL,1,1,,,,2,,,,,,,,2,
,OCEN,,,,1,,1,,,,,,,,1,
,PETE,,,,2,,2,,2,2,,,,,4,
,PETL,3,4,1,1,,9,,,,,,,,9,
,RHEL,,1,,,,1,,,,,,,,1,
,RHEN,,1,,,,1,,,,,,,,1,
,SENG,,,,,,,,,,,,,,,
,USEN,,,,,,,,,,,,,,,
,Subtotal,39,29,27,43,1,139,,16,16,3,3,,,158,
G. Bush School of Govt,CAIA,,,,,,,2,,2,,,,,2,
,CHLS,,,,,,,1,,1,,,,,1,
,CNPM,,,,,,,,,,,,,,,
,INTA,,,,,,,,3,3,,,,,3,
,PSAA,,,,,,,,3,3,,,,,3,
,Subtotal,,,,,,,3,6,9,,,,,9,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
