Ethnicity Asian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,ABME,,,,,,,,,,,,,,,
,ADEV,,,,,,,,,,,,,,,
,AGBL,,,1,,,1,,,,,,,,1,
,AGBU,,,1,3,,4,,2,2,,,,,6,
,AGCJ,,,1,1,,2,,,,,,,,2,
,AGEC,,,1,1,,2,,,,1,1,,,3,
,AGLS,,,,,,,,,,,,,,,
,AGRO,,1,1,1,,3,,,,,,,,3,
,AGSC,,,,,,,,,,,,,,,
,AGSM,,,,,,,,,,,,,,,
,ALEC,,,,,,,,,,1,1,,,1,
,ALED,,,,,,,,,,,,,,,
,ANBR,,,,,,,,,,,,,,,
,ANSC,1,1,1,1,,4,,,,,,,,4,
,BAEN,,,2,7,,9,,,,1,1,,,10,
,BESC,,3,6,8,,17,,,,,,,,17,
,BICH,12,6,11,10,1,40,,1,1,,,,,41,
,BIOT,,,,,,,,3,3,,,,,3,
,CDEV,,,,,,,,,,,,,,,
,DASC,,,,,,,,,,,,,,,
,ECOR,,,,,,,,,,,,,,,
,ENST,,,,,,,,,,,,,,,
,ENTO,,,,,,,,,,,,,,,
,FISC,,,,,,,,,,,,,,,
,FIVL,,3,,,,3,,,,,,,,3,
,FIVS,,,,,,,,,,,,,,,
,FLOR,,,,,,,,,,,,,,,
,FORS,,,,,,,,1,1,,,,,1,
,FSTC,1,1,2,2,,6,,2,2,,,,,8,
,GENE,1,1,,3,,5,,1,1,1,1,,,7,
,HORT,,,,,,,,1,1,,,,,1,
,MEPS,,,,,,,,,,1,1,,,1,
,NRDV,,,,,,,,,,,,,,,
,NUSC,1,4,6,14,,25,,,,,,,,25,
,NUTR,,,,,,,,3,3,,,,,3,
,PLBR,,,,,,,,,,,,,,,
,PLPA,,,,,,,,,,,,,,,
,POSC,,,,1,,1,,,,,,,,1,
,PPRO,,,,,,,,,,,,,,,
,PREP,,,,,,,,,,,,,,,
,PSSC,,,,,,,,,,,,,,,
,RENR,,,,,,,,,,,,,,,
,RLEM,,,,,,,,,,,,,,,
,RPTS,,2,2,2,,6,,,,,,,,6,
,RRDV,,,,,,,,,,,,,,,
,SOSC,,,,,,,,,,2,2,,,2,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
