"Spring 2006
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts            ANTH CLLA COMM ECON ENGL EURO HISP HIST JOUR PHUM POLS PRFM PSYC SOCI
Subtotal
Science                   BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine         VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies      GEST
Subtotal Other - Special        CLMD Populations             COFD
MARB MARS SABX SRPH
Subtotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,,% chg,#,% chg,#,,% chg,#,% chg,
,155,6.2%,1,0.0%,16,23.1%,5,66.7%,,,,21,0.0%,,3,50.0%,201,8.1%,
,37,12.1%,,,5,25.0%,3,0.0%,,,,,,,,,45,12.5%,
,154,-4.3%,5,150.0%,13,-48.0%,3,50.0%,,3,50.0%,19,-9.5%,,2,0.0%,199,-7.4%,
,131,-9.7%,0,-100.0%,12,9.1%,3,0.0%,,2,100.0%,45,-6.3%,,2,-33.3%,195,-8.0%,
,41,-2.4%,,,2,0.0%,1,0.0%,,,,19,-9.5%,,,,63,-4.5%,
,518,-1.7%,6,50.0%,48,-12.7%,15,25.0%,,5,66.7%,104,-6.3%,,7,0.0%,703,-2.2%,
,184,0.0%,1,100.0%,16,-5.9%,5,66.7%,,0,-100.0%,17,6.3%,,4,0.0%,227,0.9%,
,328,12.7%,15,36.4%,85,19.7%,18,100.0%,,4,0.0%,3,-50.0%,,3,50.0%,456,15.7%,
,790,8.2%,17,54.5%,78,8.3%,11,0.0%,,2,-50.0%,10,0.0%,,6,20.0%,914,8.4%,
,396,-8.8%,9,-25.0%,57,-19.7%,29,16.0%,,0,-100.0%,86,-3.4%,,3,-40.0%,580,-8.9%,
,670,1.1%,28,16.7%,55,10.0%,15,15.4%,,6,-14.3%,24,-4.0%,,3,-57.1%,801,1.5%,
,20,-13.0%,0,-100.0%,2,-33.3%,2,100.0%,,,,,,,1,0.0%,25,-13.8%,
,76,-2.6%,0,-100.0%,52,26.8%,1,0.0%,,,,2,100.0%,,,,131,7.4%,
,630,1.8%,15,87.5%,63,28.6%,9,50.0%,,4,100.0%,4,33.3%,,9,-25.0%,734,5.0%,
,0,-100.0%,0,-100.0%,0,-100.0%,0,-100.0%,,,,0,-100.0%,,0,-100.0%,0,-100.0%,
,100,-8.3%,3,-25.0%,9,-40.0%,3,-25.0%,,,,4,-20.0%,,3,0.0%,122,-12.9%,
,784,-1.3%,27,-6.9%,122,10.9%,23,-4.2%,,3,-50.0%,16,-5.9%,,4,-20.0%,979,-0.6%,
,56,-30.9%,4,300.0%,14,16.7%,1,100.0%,,,,,,,,,75,-20.2%,
,906,-12.4%,43,-12.2%,166,1.2%,35,-2.8%,,5,-28.6%,11,-35.3%,,3,-57.1%,"1,169",-11.0%,
,298,10.0%,30,25.0%,66,24.5%,18,50.0%,,3,-25.0%,11,-45.0%,,2,0.0%,428,10.9%,
,"5,238",-3.2%,192,7.3%,785,6.7%,170,15.6%,,27,-25.0%,188,-12.6%,,41,-25.5%,"6,641",-2.0%,
