Spring 2006,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Other -              AGBU
Special              BIOT
Populations       ENSM
FSTC GENE MARB MARM MDSC MEPS MSEN NUTR PHLT PPHY REEP TOXI WMHS",,"0
43","-100.0%
10.3%","33
20
6
18
7
3
7
10
7
17
16
5
5
9","100.0%
33.3%
100.0%
100.0%
100.0%
0.0%
-36.4%
100.0%
0.0%
100.0%
-23.8%
-16.7%
100.0%
100.0%","24
48
23
16
12
1
25
4","100.0%
100.0%
100.0%
60.0%
100.0%
100.0%
100.0%
100.0%",,,"33
20
6
42
55
0
3
7
33
23
29
16
1
48
30
13","100.0%
33.3%
100.0%
100.0%
100.0%
-100.0%
0.0%
-36.4%
100.0%
35.3%
100.0%
-23.8%
100.0%
6.7%
100.0%
100.0%",
,Subtotal,43,7.5%,163,158.7%,153,1430.0%,,,359,217.7%,
Total,,"33,493",0.5%,"4,230",-1.4%,"3,359",1.4%,509,-0.2%,"41,591",0.4%,
"Prepared by OISP, 21 Apr 06",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
