"Spring 2006
Agriculture             AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC NFSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture   ARCH COSC LAUP
Subtotal
Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education       CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering            AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH  of Govt                   Subtotal",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
590
1,009
803
332
441
317
154
69
173
497
210
174
192
357
180
546
6,044
765
679
249
1,693
747
1,719
771
298
425
594
4,554
353
469
520
1,828
2,024
5,194
569
397
556
20
791
1,266
1,128
842
412
1,331
252
511
8,075
199
199",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,163,331,1,1,7,24,1,1,2,1,17,39,2,,193,397,,
,416,441,17,35,32,37,2,5,7,6,4,5,1,1,479,530,,
,415,274,5,5,43,27,6,3,2,3,5,12,2,1,478,325,,
,30,241,3,5,4,16,1,2,,1,5,22,,2,43,289,,
,156,102,7,4,27,27,24,23,,1,38,27,1,4,253,188,,
,78,140,6,29,20,28,4,5,1,,2,2,1,1,112,205,,
,59,47,6,2,11,9,1,3,1,,5,8,1,1,84,70,,
,5,49,2,1,2,2,,1,,1,2,3,1,,12,57,,
,92,53,2,,3,7,1,2,,,5,8,,,103,70,,
,341,65,6,2,46,9,10,5,2,1,7,1,2,,414,83,,
,76,63,4,3,18,18,6,6,1,1,2,11,1,,108,102,,
,50,90,,1,4,12,,1,1,,5,9,,1,60,114,,
,37,125,1,,4,10,2,,,,4,6,,3,48,144,,
,154,131,2,5,14,11,1,1,2,4,21,7,3,1,197,160,,
,19,130,,4,2,3,2,,,2,5,12,1,,29,151,,
,175,282,5,1,25,21,3,,4,3,13,9,2,3,227,319,,
,"2,266","2,564",67,98,262,261,64,58,23,24,140,181,18,18,"2,840","3,204",,
,251,291,5,6,36,49,19,18,1,1,33,50,2,3,347,418,,
,50,508,3,4,9,56,2,7,,2,9,25,,4,73,606,,
,57,96,1,5,8,12,1,2,,1,22,41,,3,89,160,,
,358,895,9,15,53,117,22,27,1,4,64,116,2,10,509,"1,184",,
,383,259,4,6,26,19,17,13,,3,6,8,1,2,437,310,,
,729,670,26,20,81,96,24,30,3,2,11,19,2,6,876,843,,
,263,403,4,6,18,24,6,19,1,3,5,13,1,5,298,473,,
,61,123,2,3,4,7,4,6,,2,26,59,,1,97,201,,
,182,165,8,6,24,8,13,5,,1,5,5,2,1,234,191,,
,368,154,5,1,24,8,8,7,1,1,4,11,1,1,411,183,,
,"1,986","1,774",49,42,177,162,72,80,5,12,57,115,7,16,"2,353","2,201",,
,169,112,9,5,20,25,3,4,1,1,2,1,,1,204,149,,
,183,115,34,18,53,27,,2,2,,22,6,4,3,298,171,,
,290,35,17,4,106,16,9,2,1,1,30,8,1,,454,66,,
,917,605,47,25,86,79,16,19,3,2,7,14,3,5,"1,079",749,,
,"1,643",102,64,13,116,18,19,3,7,,26,5,6,2,"1,881",143,,
,"3,202",969,171,65,381,165,47,30,14,4,87,34,14,11,"3,916","1,278",,
,58,347,3,8,11,56,3,11,,,4,66,,2,79,490,,
,107,135,5,7,18,29,20,23,,2,9,40,,2,159,238,,
,107,226,8,14,31,32,7,13,1,2,36,77,,2,190,366,,
,,5,1,,,1,,,,,1,12,,,2,18,,
,40,441,6,18,10,50,6,36,,1,34,145,,4,96,695,,
,175,703,7,9,33,97,7,35,1,2,33,161,1,2,257,"1,009",,
,42,538,10,23,16,88,12,51,,2,52,294,,,132,996,,
,87,612,12,13,25,45,6,20,1,4,2,7,,8,133,709,,
,51,151,13,12,8,41,7,7,,,22,100,,,101,311,,
,109,796,14,22,9,112,6,35,,11,11,198,,8,149,"1,182",,
,32,147,,2,7,14,4,10,,1,6,26,2,1,51,201,,
,51,219,4,14,8,34,3,15,,3,22,134,,4,88,423,,
,859,"4,320",83,142,176,599,81,256,3,28,232,"1,260",3,33,"1,437","6,638",,
,57,92,5,3,13,9,,3,,1,5,9,,2,80,119,,
,57,92,5,3,13,9,,3,,1,5,9,,2,80,119,,
"Prepared by OISP, 21 Apr 06",,,,,,,,,,,,,,,,,,
