Texas A&M University,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,
Residency Status by Tuition Status by College,,,,,,,,,
Spring 2006,,,,,,,,,
Enrollment Profile – Spring 2006 Official Certified 12th Class Day Data,,,,,,,,,
"Spring 2006
Agriculture         Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Subtotal
Architecture        Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Subtotal
Business              Texas Resident
Admin                 Non-TX, US Resident
Non-TX, Non-US Resident
Subtotal
Education            Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Subtotal
Engineering        Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Subtotal
G. Bush               Texas Resident
School of            Non-TX, US Resident
Subtotal
Geosciences        Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Subtotal
Liberal Arts         Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Subtotal
Science                Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Subtotal
Veterinary           Texas Resident
Medicine             Non-TX, US Resident
Non-TX, Non-US Resident
Subtotal
General               Texas Resident
Studies                Non-TX, US Resident
Non-TX, Non-US Resident
Subtotal
Other -                 Texas Resident
Special                Non-TX, US Resident
Subtotal
Total                   Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Grand Total",Resident Tuition,,Non-Resident Tuition,,Tuition Exemption/Waiver,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,
,"5,273",-1.0%,13,44.4%,73,421.4%,"5,359",0.2%,
,,,97,-19.8%,263,-3.7%,360,-8.6%,
,7,-22.2%,84,-7.7%,234,-26.9%,325,-22.6%,
,"5,280",-1.0%,194,-12.2%,570,-6.1%,"6,044",-1.9%,
,"1,420",2.7%,1,0.0%,21,2000.0%,"1,442",4.1%,
,,,22,-4.3%,49,0.0%,71,-1.4%,
,3,50.0%,37,-19.6%,140,-20.0%,180,-19.3%,
,"1,423",2.7%,60,-14.3%,210,-6.7%,"1,693",0.8%,
,"4,219",-0.1%,0,-100.0%,39,290.0%,"4,258",0.5%,
,,,30,-16.7%,90,4.7%,120,-1.6%,
,8,0.0%,42,10.5%,126,1.6%,176,3.5%,
,"4,227",-0.1%,72,-4.0%,255,15.9%,"4,554",0.6%,
,"4,848",1.5%,11,57.1%,52,940.0%,"4,911",2.6%,
,,,64,1.6%,98,10.1%,162,6.6%,
,4,-50.0%,43,59.3%,74,-11.9%,121,1.7%,
,"4,852",1.4%,118,21.6%,224,25.8%,"5,194",2.7%,
,"5,994",3.3%,22,0.0%,95,331.8%,"6,111",4.5%,
,0,-100.0%,120,-12.4%,334,11.7%,454,3.9%,
,31,-34.0%,460,-2.7%,"1,019",-7.0%,"1,510",-6.6%,
,"6,025",3.0%,602,-4.7%,"1,448",2.2%,"8,075",2.2%,
,135,-4.3%,2,100.0%,8,166.7%,145,0.7%,
,,,4,300.0%,34,54.5%,38,65.2%,
,1,100.0%,1,-50.0%,14,27.3%,16,23.1%,
,136,-3.5%,7,133.3%,56,55.6%,199,10.6%,
,495,-0.8%,,,12,500.0%,507,1.2%,
,,,23,-8.0%,66,-16.5%,89,-14.4%,
,1,-80.0%,15,15.4%,91,-5.2%,107,-6.1%,
,496,-1.6%,38,0.0%,169,-4.5%,703,-2.2%,
,"5,863",-3.6%,11,-31.3%,85,304.8%,"5,959",-2.6%,
,,,162,8.0%,324,13.7%,486,11.7%,
,6,-45.5%,69,-14.8%,121,-6.9%,196,-11.7%,
,"5,869",-3.7%,242,-2.0%,530,21.6%,"6,641",-2.0%,
,"1,967",3.4%,5,25.0%,45,309.1%,"2,017",5.2%,
,,,39,-31.6%,207,10.1%,246,0.4%,
,6,-33.3%,53,3.9%,270,-4.3%,329,-3.8%,
,"1,973",3.2%,97,-13.4%,522,8.5%,"2,592",3.5%,
,"2,132",-5.7%,2,-50.0%,52,1633.3%,"2,186",-3.7%,
,,,23,-14.8%,80,15.9%,103,7.3%,
,4,-33.3%,8,-27.3%,29,-39.6%,41,-36.9%,
,"2,136",-5.8%,33,-21.4%,161,34.2%,"2,330",-4.1%,
,"3,057",-6.0%,11,22.2%,30,500.0%,"3,098",-5.1%,
,,,51,13.3%,40,-21.6%,91,-5.2%,
,5,25.0%,9,-10.0%,4,100.0%,18,12.5%,
,"3,062",-6.0%,71,10.9%,74,27.6%,"3,207",-5.1%,
,128,265.7%,,,2,0.0%,130,251.4%,
,,,8,700.0%,37,1133.3%,45,1025.0%,
,0,-100.0%,75,63.0%,109,336.0%,184,155.6%,
,128,255.6%,83,76.6%,148,393.3%,359,217.7%,
,"35,531",-0.4%,78,6.8%,514,419.2%,"36,123",0.7%,
,0,-100.0%,643,-6.3%,"1,622",8.6%,"2,265",3.9%,
,76,-30.9%,896,0.8%,"2,231",-6.8%,"3,203",-5.6%,
,"35,607",-0.5%,"1,617",-1.9%,"4,367",9.6%,"41,591",0.4%,
"Prepared by OISP, 21 Apr 06",,,,,,,,,
