"Spring 2006
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD MARS SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
29
2
5
13
49
10
39
83
23
47
1
9
55
9
97
4
89
22
488
200
42
31
17
290
290
290
1,180
1,180
4,278","Sophomore
28
11
15
20
74
25
70
174
60
128
6
11
125
16
153
11
199
43
1,021
240
44
39
14
337
279
279
1,121
1,121
6,163","Junior
23
12
43
19
97
27
96
235
126
202
8
14
166
27
238
12
242
78
1,471
238
40
52
16
346
279
279
146
146
7,162","Senior
40
12
62
39
153
44
119
260
166
224
5
34
223
33
257
29
324
120
1,838
255
52
84
27
418
421
421
2
2
9,240","PB
2
2
4
6
6
72","Total
122
37
125
93
377
106
324
752
375
601
20
68
569
85
745
56
854
263
4,818
939
178
206
74
1,397
1,269
1,269
2,449
2,449
26,915",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,26,26,7,7,452,452,155,
,,,,,,,,,,,,,,37,
,,,,,,,,16,18,11,11,,,154,
,,,,,,,,27,27,11,11,,,131,
,,,,,,,,28,28,13,13,,,41,
,,,,,,,2,97,99,42,42,,,518,
,,,,,,,2,44,46,32,32,,,184,
,,,,,,,,4,4,,,,,328,
,,,,,,,,11,11,27,27,,,790,
,,,,,,,,7,7,14,14,,,396,
,,,,,,,3,20,23,46,46,,,670,
,,,,,,,,,,,,,,20,
,,,,,,,1,2,3,5,5,,,76,
,,,,,,,5,21,26,35,35,,,630,
,,,,,,,1,10,11,4,4,,,100,
,,,,,,,,4,4,35,35,,,784,
,,,,,,,,,,,,,,56,
,,,,,,,1,19,20,32,32,,,906,
,,,,,,,,12,12,23,23,,,298,
,,,,,,,13,154,167,253,253,,,"5,238",
,,,,,,,2,25,27,24,24,,,990,
,,,,,,,3,48,51,59,59,,,288,
,,,,,,,6,37,43,19,19,,,268,
,,,,,,,,21,21,19,19,,,114,
,,,,,,,,11,11,10,10,,,21,
,,,,,,,11,142,153,131,131,,,"1,681",
,,,,,,,,,,,,,,"1,721",
,,,,,,,,16,16,8,8,,,24,
,,,,,,,,4,4,,,,,4,
,,,,,,,,1,1,,,,,1,
,,,,,,,2,16,18,19,19,,,37,
,,,,,,,,3,3,2,2,,,5,
,,,,,,,2,40,42,29,29,452,452,"1,792",
,,,,,,,,,,,,,,"2,449",
,,,,,,,,,,,,,,"2,449",
,,,,,,,2,,2,,,,,2,
,,,,,,,,67,67,60,60,,,127,
,,,,,,,1,,1,,,,,1,
,,,,,,,9,,9,,,,,9,
,,,,,,,12,67,79,60,60,,,139,
,,,,,,,210,"2,286","2,496","1,296","1,296",452,452,"31,159",
"Prepared by OISP, 21 Apr 06",,,,,,,,,,,,,,,
