"Spring 2006
Business                  ACCT
Admin                     AGBU BUAD BUAG EMBA FINC INFO MGMT MISY MKTG MLER
Subtotal
Education                CPSY EDAD EDCI EDHL EDIS EDKI EDSM EDTC EHRD EPSY HEED HLTH INST ISNC KINE PHED SPMT SPSY TECR
Subtotal",Undergraduate,,,,,Masters,,,,PhD,,,Professional,Total,
,"1st Time in College
16
16
3
1
1
5",1st Time PB,"1st Time Transfer
2
2
8
56
36
26
13
9
148","Readmitted
1
8
2
1
3
15
2
4
4
2
8
2
22","Continuing
592
5
1,500
11
569
159
385
549
3,770
229
684
619
220
162
1,104
336
266
129
29
3,778",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
,,,,,,2,26,1,113,6,1,15,,747,
,,,,,,,,,,,,,,5,
,,,,,,,,,136,,,,,"1,664",
,,,,,,,,,,,,,,11,
,,,,,,,,,39,,,,,39,
,,,,,,,24,,109,,,9,,713,
,,,,,,,,,,,,9,,169,
,,,,,,,,,22,,,18,,425,
,,,,,,,23,,106,,,,,129,
,,,,,,,1,,25,,,16,,594,
,,,,,,,14,,44,,,,,58,
,,,,,,2,88,,594,,,67,,"4,554",
,,,,,,,,,7,,,28,,35,
,,,,,,5,9,,71,,,201,,293,
,,,,,,11,28,,170,16,1,160,,386,
,,,,,,,,,,,,,,239,
,,,,,,,,,,,,,,744,
,,,,,,,,,,,,,,662,
,,,,,,,,,,,,,,247,
,,,,,,1,4,,20,,,,,25,
,,,,,,5,13,,51,2,1,104,,176,
,,,,,,3,6,,63,,,87,,159,
,,,,,,,,,8,1,,21,,30,
,,,,,,,,,,,,,,162,
,,,,,,,,,,,,,,"1,120",
,,,,,,,,,,,,,,353,
,,,,,,2,8,,44,2,,28,,352,
,,,,,,,,,1,,,5,,7,
,,,,,,,,,,,,,,129,
,,,,,,,,,10,,,36,,46,
,,,,,,,,,,,,,,29,
,,,,,,27,68,1,445,27,3,670,,"5,194",
"Prepared by OISP, 21 Apr 06",,,,,,,,,,,,,,,
