"Spring 2006
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies        GEST
Subtotal Other - Special         CLMD Populations               COFD
MARS SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,Masters,,,,PhD,,,Professional,Total,
,"1st Time in College
3
2
1
2
3
3
1
1
1
17
2
2
7
7
15
15
95","1st Time PB
7","1st Time Transfer
4
9
28
25
14
3
20
2
21
32
7
165
33
2
1
36
31
31
778","Readmitted
4
2
5
6
3
6
3
5
1
8
6
49
1
1
5
5
29
29
222","Continuing
116
435
826
449
677
25
105
629
87
885
73
1,042
344
5,693
1,277
250
246
93
1,866
1,687
1,687
3,132
3,132
43
43
32,391",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
,,,,,,1,1,1,64,2,3,42,509,227,
,,,,,,,,,4,,,,,456,
,,,,,,,1,,17,,,36,,914,
,,,,,,,,,34,,,66,,580,
,,,,,,1,,,28,1,,72,,801,
,,,,,,,,,,,,,,25,
,,,,,,,,,8,1,,11,,131,
,,,,,,2,,,33,,,43,,734,
,,,,,,,1,,19,,,7,,122,
,,,,,,,,,7,,,58,,979,
,,,,,,,,,,,,,,75,
,,,,,,,,,34,,,52,,"1,169",
,,,,,,,,,26,,,44,,428,
,,,,,,4,3,1,274,4,,431,,"6,641",
,,,,,,,1,,43,,,46,,"1,402",
,,,,,,2,4,1,101,,,152,,510,
,,,,,,5,2,1,55,1,,58,,371,
,,,,,,1,6,,46,3,,91,,241,
,,,,,,,1,,32,1,,34,,68,
,,,,,,8,14,2,277,5,,381,,"2,592",
,,,,,,,,,,,,,,"2,208",
,,,,,,,4,,17,2,,13,,36,
,,,,,,,,,5,,,,,5,
,,,,,,,,,3,,,,,3,
,,,,,,,3,,23,,,38,,64,
,,,,,,,1,,3,,,10,,14,
,,,,,,,8,,51,2,,61,509,"2,330",
,,,,,,,,,,,,,,"3,207",
,,,,,,,,,,,,,,"3,207",
,,,,,,,,,7,,,,,7,
,,,,,,,12,,120,2,,151,,285,
,,,,,,,,,3,,,,,3,
,,,,,,3,,,2,,,,,48,
,,,,,,8,,,8,,,,,16,
,,,,,,11,12,,140,2,,151,,359,
,,,,,,119,362,10,"3,739",91,,"3,265",509,"41,591",
"Prepared by OISP, 21 Apr 06",,,,,,,,,,,,,,,
