Spring 2006,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Architecture,ARCH,32,40,1,1,5,6,3,4,1,2,27,41,1,3,69,95,164,
,COMG,4,19,1,,1,3,1,2,,,9,22,,,16,46,62,
,COSC,26,286,,3,4,26,,5,,,,2,,3,30,325,355,
,COSL,20,203,2,1,4,27,1,,,,,1,,1,27,235,262,
,ENDL,126,122,1,3,15,27,9,6,,1,,2,,,152,161,313,
,ENDS,80,99,2,2,14,14,5,4,,,3,1,1,,105,120,225,
,LAND,31,40,,1,3,8,1,,,1,8,,,,43,50,93,
,LANL,15,38,,,3,2,,1,,,,,,,18,41,59,
,LDEV,1,3,,1,1,1,,1,,,1,4,,2,3,12,15,
,URPL,7,8,,3,,1,,,,,2,10,,,9,22,31,
,URSC,3,7,1,,1,,,,,,11,27,,1,16,35,51,
,VIZA,13,30,1,,2,2,2,4,,,3,6,,,21,42,63,
,Subtotal,358,895,9,15,53,117,22,27,1,4,64,116,2,10,509,"1,184",1693,
Business,ACCT,383,259,4,6,26,19,17,13,,3,6,8,1,2,437,310,747,
Admin,AGBU,2,2,,,,1,,,,,,,,,2,3,5,
,BUAD,721,638,25,20,78,88,24,28,3,2,11,19,2,5,864,800,1664,
,BUAG,3,8,,,,,,,,,,,,,3,8,11,
,EMBA,3,22,1,,3,7,,2,,,,,,1,7,32,39,
,FINC,253,365,4,6,18,20,6,19,1,3,5,12,,1,287,426,713,
,INFO,45,95,,3,2,7,2,4,,2,4,4,,1,53,116,169,
,MGMT,182,165,8,6,24,8,13,5,,1,5,5,2,1,234,191,425,
,MISY,16,28,2,,2,,2,2,,,22,55,,,44,85,129,
,MKTG,368,154,5,1,24,8,8,7,1,1,4,11,1,1,411,183,594,
,MLER,10,38,,,,4,,,,,,1,1,4,11,47,58,
,Subtotal,"1,986","1,774",49,42,177,162,72,80,5,12,57,115,7,16,"2,353","2,201",4554,
Education,CPSY,13,8,3,1,4,2,1,1,,,2,,,,23,12,35,
,EDAD,116,86,21,11,31,16,,,2,,5,1,2,2,177,116,293,
,EDCI,223,38,39,7,28,9,5,,1,,25,5,5,1,326,60,386,
,EDHL,162,34,9,2,19,5,5,2,1,,,,,,196,43,239,
,EDIS,628,27,15,4,47,7,11,,4,,1,,,,706,38,744,
,EDKI,328,226,17,9,33,32,4,11,,1,,,1,,383,279,662,
,EDSM,72,133,4,9,6,18,1,,,1,,2,,1,83,164,247,
,EDTC,9,8,1,,1,1,,1,,,4,,,,15,10,25,
,EHRD,67,29,13,7,22,11,,2,,,17,5,2,1,121,55,176,
,EPSY,85,13,4,3,20,4,,,,1,20,8,1,,130,29,159,
,HEED,9,6,7,1,1,,1,,,,3,1,1,,22,8,30,
,HLTH,123,13,5,2,11,3,1,2,,,1,,1,,142,20,162,
,INST,936,34,12,2,112,8,7,2,3,,3,,1,,"1,074",46,1120,
,ISNC,169,112,9,5,20,25,3,4,1,1,2,1,,1,204,149,353,
,KINE,171,128,4,1,15,7,4,4,2,,2,10,,4,198,154,352,
,PHED,2,2,,,,1,,,,,1,1,,,3,4,7,
,SPMT,50,63,1,1,1,13,,,,,,,,,52,77,129,
,SPSY,24,2,6,,7,3,3,,,,1,,,,41,5,46,
,TECR,15,7,1,,3,,1,1,,,,,,1,20,9,29,
,Subtotal,"3,202",969,171,65,381,165,47,30,14,4,87,34,14,11,"3,916","1,278",5194,
"Prepared by OISP, 21 Apr 06",,,,,,,,,,,,,,,,,,,
