Spring 2006,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Other -               AGBU
Special              BIOT
Populations       ENSM FSTC GENE MARB MARM MDSC MEPS MSEN NUTR PHLT PPHY REEP TOXI WMHS",,"19
10
3
11
33
1
2
11
1
16
9
13
10","100.0%
0.0%
100.0%
100.0%
100.0%
-66.7%
-50.0%
100.0%
0.0%
100.0%
-10.0%
100.0%
100.0%","1
1
1
1","100.0%
100.0%
100.0%
0.0%","3
1
1
5
1
1
0
2
2
3
1","100.0%
0.0%
100.0%
100.0%
100.0%
100.0%
-100.0%
100.0%
100.0%
0.0%
100.0%","4
1
4
1
0","300.0%
100.0%
100.0%
100.0%
-100.0%",,,"11
5
1
25
15
0
1
5
20
22
9
2
1
48
15
3","100.0%
66.7%
100.0%
100.0%
100.0%
-100.0%
100.0%
0.0%
100.0%
37.5%
100.0%
0.0%
100.0%
6.7%
100.0%
100.0%","1
1
1","100.0%
-50.0%
100.0%","33
20
6
42
55
0
3
7
33
23
29
16
1
48
30
13","100.0%
33.3%
100.0%
100.0%
100.0%
-100.0%
0.0%
-36.4%
100.0%
35.3%
100.0%
-23.8%
100.0%
6.7%
100.0%
100.0%",
,Subtotal,139,396.4%,4,300.0%,20,233.3%,10,150.0%,,,183,154.2%,3,50.0%,359,217.7%,
Total,,"31,159",-0.7%,"1,178",11.0%,"4,265",9.2%,"1,430",10.8%,197,2.1%,"3,149",-5.6%,213,-21.4%,"41,591",0.4%,
"Prepared by OISP, 21 Apr 06",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
