Spring 2006,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Agriculture        ADEV
AGBL AGBU AGEC AGED AGEN AGJR AGLS AGRO AGSC AGSM ANBR ANSC BAEN BESC BICH BSEN DASC ENST ENTO FISC FLOR FORS FSTC GENE HORT MEPS NRDV NUSC NUTR PLBR PLPA PLSC POSC PPRO PREP PSSC RENR RLEM RPTS SOSC SPSA TOXI WFSC WISC",,"599
102
67
325
73
97
81
212
124
104
151
3
665
17
125
156
6
6
5
106
1
11
38
41
102
133
0
6
365
0
13
10
2
140
1
15
0
25
146
283
13
11
0
439
11","3.1%
1.0%
-37.4%
13.6%
-3.9%
6.6%
2.5%
1.9%
-10.8%
-25.7%
-12.7%
-50.0%
-5.0%
0.0%
8.7%
-0.6%
-62.5%
0.0%
100.0%
12.8%
100.0%
-26.7%
-13.6%
0.0%
-26.1%
-8.9%
-100.0%
-14.3%
18.5%
-100.0%
-13.3%
66.7%
-33.3%
-20.5%
100.0%
-34.8%
-100.0%
-28.6%
-9.9%
6.8%
18.2%
120.0%
-100.0%
5.5%
0.0%","47
2
3
0
1
35
2
1
5
9
2
5
6
1
2
8
3
0
5
2
8
0
2
1
1
1
7
6","123.8%
100.0%
-50.0%
-100.0%
-50.0%
-30.0%
-33.3%
100.0%
0.0%
-25.0%
0.0%
-37.5%
50.0%
0.0%
100.0%
166.7%
50.0%
-100.0%
25.0%
0.0%
100.0%
-100.0%
100.0%
0.0%
0.0%
-50.0%
600.0%
-25.0%","56
5
5
21
3
8
4
48
4
6
11
68
33
32
1
1
20
1
3
7
22
9
0
48
0
1
2
16
0
2
1
13
25
0
1
0
46","40.0%
-28.6%
66.7%
10.5%
-25.0%
0.0%
100.0%
-12.7%
100.0%
-33.3%
22.2%
30.8%
10.0%
33.3%
0.0%
100.0%
11.1%
100.0%
50.0%
-12.5%
22.2%
50.0%
-100.0%
26.3%
-100.0%
100.0%
100.0%
-15.8%
-100.0%
0.0%
-50.0%
62.5%
19.0%
-100.0%
100.0%
-100.0%
-11.5%","6
0
1
1
1
0
9
1
1
0
8
11
35
2
1
4
1
0
12
3
15
0
1
1
1
1
2
1
3","50.0%
-100.0%
0.0%
100.0%
-50.0%
-100.0%
125.0%
100.0%
0.0%
-100.0%
14.3%
83.3%
40.0%
0.0%
100.0%
33.3%
0.0%
-100.0%
33.3%
50.0%
15.4%
-100.0%
-50.0%
100.0%
0.0%
0.0%
100.0%
100.0%
-25.0%","7
1
2
0
1
2
1
2
4
5
2
0
1
1
1
3
1
0
6
6
1","-22.2%
0.0%
100.0%
-100.0%
-50.0%
0.0%
100.0%
100.0%
0.0%
0.0%
-33.3%
-100.0%
100.0%
0.0%
0.0%
0.0%
100.0%
-100.0%
100.0%
100.0%
100.0%","5
1
0
55
4
6
3
2
3
12
17
2
55
1
1
13
5
9
10
12
0
1
1
0
11
11
13
3
1
10
28
5
21","150.0%
0.0%
-100.0%
1.9%
-20.0%
0.0%
0.0%
-60.0%
50.0%
9.1%
-15.0%
100.0%
-5.2%
0.0%
0.0%
8.3%
-16.7%
-70.0%
-56.5%
20.0%
-100.0%
0.0%
100.0%
-100.0%
0.0%
-8.3%
-23.5%
0.0%
0.0%
-28.6%
0.0%
-44.4%
-4.5%","2
1
1
1
2
3
1
1
2
2
1
3
0
2
1
1
3
4
4
1","-60.0%
0.0%
100.0%
-50.0%
0.0%
-40.0%
0.0%
-66.7%
100.0%
0.0%
0.0%
50.0%
-100.0%
100.0%
0.0%
-50.0%
0.0%
33.3%
-55.6%
100.0%","722
109
76
405
83
114
88
310
135
116
170
3
770
37
179
286
11
7
9
154
1
12
52
57
155
159
0
7
442
0
28
23
2
173
1
22
1
27
174
355
19
12
0
525
13","9.1%
-2.7%
-40.2%
11.9%
-8.8%
0.9%
2.3%
-3.7%
-9.4%
-24.7%
-10.5%
-50.0%
-2.8%
-7.5%
7.8%
6.3%
-50.0%
0.0%
100.0%
16.7%
100.0%
-20.0%
-8.8%
-32.1%
-20.5%
-4.8%
-100.0%
-12.5%
20.4%
-100.0%
0.0%
27.8%
-33.3%
-20.3%
0.0%
-24.1%
-66.7%
-28.9%
-8.9%
10.2%
-9.5%
140.0%
-100.0%
2.1%
18.2%",
,Subtotal,"4,830",-2.5%,165,11.5%,523,12.2%,122,24.5%,47,11.9%,321,-22.3%,36,-20.0%,"6,044",-1.9%,
"Prepared by OISP, 21 Apr 06",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
