"Spring 2006
Agriculture               AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC NFSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture    ARCH COSC LAUP
Subtotal
Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                 CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering              AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH of Govt                     Subtotal
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal",Undergraduate,,,,,Masters,,,,PhD,,,Professional,Total,
,"1st Time in College
1
2
1
1
1
2
8
3
1
4
16
16
1
4
5
4
2
1
3
2
2
3
1
3
21","1st Time PB
1
1
1
1
1
5
1
1
1
1","1st Time Transfer
45
44
33
8
8
7
3
3
9
17
3
8
6
17
4
13
228
14
19
3
36
2
2
9
10
70
59
148
7
4
12
8
17
15
19
6
25
3
3
119
6
2
1
4
13","Readmitted
2
12
5
4
3
11
1
2
3
3
2
1
2
1
9
61
3
3
6
1
8
2
1
3
15
8
8
6
22
1
12
5
5
2
2
2
29
4
1
5","Continuing
448
854
655
277
316
295
98
48
131
475
180
136
140
274
106
353
4,786
518
594
123
1,235
592
1,516
569
159
385
549
3,770
336
244
1,625
1,573
3,778
460
321
417
493
953
775
793
267
1,001
165
333
5,978
137
43
137
106
423",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
,,,,,,2,1,1,37,2,2,52,,590,
,,,,,,5,10,,47,4,,33,,"1,009",
,,,,,,7,7,,62,,,31,,803,
,,,,,,1,5,,17,1,,18,,332,
,,,,,,1,,,42,,,71,,441,
,,,,,,,2,,2,,,,,317,
,,,,,,,1,,22,,,29,,154,
,,,,,,1,2,,7,,,6,,69,
,,,,,,,1,,12,,,16,,173,
,,,,,,,,,,,,,,497,
,,,,,,,,,9,,,16,,210,
,,,,,,2,4,,9,,,15,,174,
,,,,,,,1,,27,1,,14,,192,
,,,,,,,3,,24,2,,34,,357,
,,,,,,,3,,34,,,32,,180,
,,,,,,5,11,,88,2,,62,,546,
,,,,,,24,51,1,439,12,,429,,"6,044",
,,,,,,3,,1,173,1,,49,,765,
,,,,,,,9,,53,,,,,679,
,,,,,,,1,,72,,,50,,249,
,,,,,,3,10,1,298,1,,99,,"1,693",
,,,,,,,26,,113,,,15,,747,
,,,,,,2,,,175,,,,,"1,719",
,,,,,,,38,,153,,,9,,771,
,,,,,,,23,,106,,,9,,298,
,,,,,,,,,22,,,18,,425,
,,,,,,,1,,25,,,16,,594,
,,,,,,2,88,,594,,,67,,"4,554",
,,,,,,,,,,,,,,353,
,,,,,,10,22,,122,8,,305,,469,
,,,,,,4,10,,100,,,151,,520,
,,,,,,2,8,1,53,3,,54,,"1,828",
,,,,,,11,28,,170,16,1,160,,"2,024",
,,,,,,27,68,1,445,27,3,670,,"5,194",
,,,,,,,5,,55,1,,37,,569,
,,,,,,,2,,38,2,,28,,397,
,,,,,,,5,,51,3,,66,,556,
,,,,,,,,,1,,,19,,20,
,,,,,,,10,,122,1,,154,,791,
,,,,,,1,25,,123,9,,126,,"1,266",
,,,,,,2,19,1,133,7,,169,,"1,128",
,,,,,,,,,25,,,,,842,
,,,,,,1,9,,61,,,64,,412,
,,,,,,3,11,1,155,4,,125,,"1,331",
,,,,,,,6,,43,1,,33,,252,
,,,,,,4,10,2,109,6,,39,,511,
,,,,,,11,102,4,916,34,,860,,"8,075",
,,,,,,28,,,171,,,,,199,
,,,,,,28,,,171,,,,,199,
,,,,,,,1,,30,1,,25,,201,
,,,,,,,,,,,,,,45,
,,,,,,1,2,,26,1,,27,,199,
,,,,,,,,,45,,,39,,195,
,,,,,,,3,,33,2,,25,,63,
,,,,,,1,6,,134,4,,116,,703,
"Prepared by OISP, 21 Apr 06",,,,,,,,,,,,,,,
