"Spring 2006
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts            ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                   BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies      GEST
Subtotal Other - Special        CLMD Populations             COFD
MARS SABX SRPH
Subtotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
201
45
199
195
63
703
227
456
914
580
801
25
131
734
122
979
75
1,169
428
6,641
1,402
510
371
241
68
2,592
2,208
36
5
3
64
14
2,330
3,207
3,207
7
285
3
48
16
359
41,591",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,66,89,1,,8,8,2,3,,,7,14,1,2,85,116,,
,20,17,,,4,1,2,1,,,,,,,26,19,,
,53,101,1,4,4,9,,3,1,2,5,14,,2,64,135,,
,42,89,,,5,7,,3,1,1,14,31,2,,64,131,,
,22,19,,,1,1,,1,,,9,10,,,32,31,,
,203,315,2,4,22,26,4,11,2,3,35,69,3,4,271,432,,
,109,75,1,,8,8,4,1,,,5,12,1,3,128,99,,
,232,96,9,6,54,31,12,6,4,,1,2,1,2,313,143,,
,593,197,16,1,54,24,6,5,2,,7,3,4,2,682,232,,
,94,302,3,6,14,43,5,24,,,22,64,,3,138,442,,
,530,140,23,5,43,12,11,4,6,,16,8,3,,632,169,,
,16,4,,,1,1,2,,,,,,,1,19,6,,
,57,19,,,25,27,,1,,,2,,,,84,47,,
,240,390,11,4,17,46,3,6,3,1,2,2,2,7,278,456,,
,22,78,3,,4,5,,3,,,,4,1,2,30,92,,
,308,476,21,6,44,78,6,17,,3,6,10,2,2,387,592,,
,35,21,1,3,6,8,1,,,,,,,,43,32,,
,685,221,35,8,129,37,25,10,5,,6,5,2,1,887,282,,
,207,91,19,11,41,25,14,4,2,1,6,5,1,1,290,138,,
,"3,128","2,110",142,50,440,345,89,81,22,5,73,115,17,24,"3,911","2,730",,
,600,390,30,18,106,66,72,73,3,4,21,18,1,,833,569,,
,136,152,10,8,36,26,16,17,1,2,31,71,2,2,232,278,,
,146,122,4,,16,19,11,5,,,12,32,4,,193,178,,
,11,103,1,3,4,16,1,9,2,,12,78,,1,31,210,,
,9,12,,,,1,2,1,,,19,23,,1,30,38,,
,902,779,45,29,162,128,102,105,6,6,95,222,7,4,"1,319","1,273",,
,"1,199",522,26,13,184,77,109,52,4,5,5,3,7,2,"1,534",674,,
,19,5,,,1,,2,1,1,,2,5,,,25,11,,
,3,1,,,,1,,,,,,,,,3,2,,
,1,,,,,,1,,,,1,,,,3,,,
,26,11,2,,3,2,1,,,,7,10,1,1,40,24,,
,3,2,,,1,,,1,,,3,4,,,7,7,,
,"1,251",541,28,13,189,80,113,54,5,5,18,22,8,3,"1,612",718,,
,"1,102","1,347",52,60,220,258,44,77,8,16,9,8,3,3,"1,438","1,769",,
,"1,102","1,347",52,60,220,258,44,77,8,16,9,8,3,3,"1,438","1,769",,
,,2,,,,,,,,,3,2,,,3,4,,
,64,63,1,2,8,8,7,3,,,58,69,1,1,139,146,,
,,1,,,,1,,,,,1,,,,1,2,,
,,,,,,,,,,,21,27,,,21,27,,
,5,4,,1,3,,,,,,,2,1,,9,7,,
,69,70,1,3,11,9,7,3,,,83,100,2,1,173,186,,
,"15,383","15,776",654,524,"2,106","2,159",645,785,89,108,898,"2,251",84,129,"19,859","21,732",,
"Prepared by OISP, 21 Apr 06",,,,,,,,,,,,,,,,,,
