Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Hong Kong,2,1,2,,5,
India,28,360,192,,580,
Indonesia,15,16,10,,41,
Iran,,7,24,,31,
Iraq,1,1,,,2,
Ireland,,,1,,1,
Israel,1,,,,1,
Italy,1,1,2,,4,
Jamaica,3,2,1,,6,
Japan,3,3,12,,18,
Jordan,,2,3,,5,
Kazakhstan,19,8,,,27,
Kenya,1,,,,1,
"Korea, Republic of",9,57,206,,272,
Kuwait,,,2,,2,
Latvia,1,,,,1,
Lebanon,,3,6,,9,
Liberia,1,,,,1,
Lithuania,1,,,,1,
Macao,,1,,,1,
Macedonia,,,2,,2,
Malaysia,4,2,2,,8,
Mali,,,2,,2,
Mauritius,,2,1,,3,
Mexico,14,22,48,,84,
Mongolia,1,,1,,2,
Morocco,1,1,1,,3,
Nepal,,3,1,,4,
Netherlands,,1,,,1,
Nicaragua,2,1,,,3,
Niger,,,1,,1,
Nigeria,13,23,8,,44,
Norway,,1,1,,2,
Oman,,,1,,1,
Other Foreign or US,2,,4,,6,
Pakistan,5,9,8,,22,
Panama,2,4,,,6,
Paraguay,,1,1,,2,
Peru,,5,12,,17,
Page 71,,,,,,
