"Summer 2007
Agriculture               AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture    ARCH COSC LAUP
Subtotal Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                 CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering              AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH of Govt                     Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
2
7
1
2
1
13
24","Sophomore
1
1
2
1
3
1
1
3
3
2
1
2
1
4
16","Junior
1
1
1
1
4
1
1
1
1
2
6
3
1
9
2
3
4
6
36","Senior
1
3
1
1
1
1
4
1
13
1
1
7
3
1
2
13
2
2
3
5
3
4
25
3
8
8
5
64","PB
1
1
1
1
1
1","Total
2
3
1
1
2
3
2
4
2
1
21
3
1
4
8
3
1
2
14
1
3
1
5
8
3
20
7
5
38
5
13
14
28
141",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,7,8,30,30,,,40,
,,,,,,,,1,1,2,2,,,6,
,,,,,,,,4,4,6,6,,,11,
,,,,,,,,9,9,12,12,,,22,
,,,,,,,,7,7,38,38,,,47,
,,,,,,,,,,,,,,3,
,,,,,,,,1,1,9,9,,,10,
,,,,,,,,3,3,9,9,,,12,
,,,,,,,,4,4,12,12,,,18,
,,,,,,,,,,,,,,4,
,,,,,,,,1,1,8,8,,,9,
,,,,,,,,2,2,7,7,,,9,
,,,,,,,,1,1,12,12,,,15,
,,,,,,,,6,6,8,8,,,15,
,,,,,,,,5,5,6,6,,,11,
,,,,,,,1,51,52,159,159,,,232,
,,,,,,,,24,24,8,8,,,35,
,,,,,,,,41,41,,,,,42,
,,,,,,,,17,17,14,14,,,31,
,,,,,,,,82,82,22,22,,,108,
,,,,,,,,6,6,3,3,,,17,
,,,,,,,,11,11,,,,,11,
,,,,,,,,8,8,8,8,,,19,
,,,,,,,,54,54,1,1,,,55,
,,,,,,,,1,1,7,7,,,9,
,,,,,,,,10,10,8,8,,,20,
,,,,,,,,90,90,27,27,,,131,
,,,,,,,,,,,,,,1,
,,,,,,,,9,9,7,7,,,16,
,,,,,,,,1,1,19,19,,,20,
,,,,,,,,5,5,12,12,,,20,
,,,,,,,,6,6,11,11,,,18,
,,,,,,,,21,21,49,49,,,75,
,,,,,,,,15,15,26,26,,,49,
,,,,,,,,17,17,10,10,,,30,
,,,,,,,,20,20,65,65,,,105,
,,,,,,,,,,4,4,,,4,
,,,,,,,,59,59,74,74,,,140,
,,,,,,,,58,58,92,92,,,155,
,,,,,,,,83,83,106,106,,,227,
,,,,,,,,,,,,,,5,
,,,,,,,,33,33,27,27,,,73,
,,,,,,,,65,65,69,69,,,148,
,,,,,,,,5,5,12,12,,,17,
,,,,,,,4,66,70,39,39,,,137,
,,,,,,,4,421,425,524,524,,,"1,090",
,,,,,,,,2,2,,,,,2,
,,,,,,,,2,2,,,,,2,
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,,,,
