Office of Institutional Studies and Planning,,,,,,,,
Qatar Campus,,,,,,,,
(Not included in University Total Enrollment) Summer 2007,,,,,,,,
Official Combined Summer Data – Not Certified,,,,,,,,
Summer 2007,,Student Level,,,,,Grand Total,
,,U0,U1,U2,U3,U4,,
Head Count,,8,15,27,14,3,67,
Gender,Female,3,8,15,5,1,32,
,Male,5,7,12,9,2,35,
SCH Categories,< 6 SCH,8,15,27,13,3,66,
,6-8 SCH,,,,1,,1,
"Prepared by OISP, 09 Aug 07",,,,,,,,
