Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Albania,,1,,,1,
Angola,5,1,,,6,
Antigua and Barbuda,,,1,,1,
Argentina,1,2,2,,5,
Armenia,1,,2,,3,
Australia,1,1,,,2,
Austria,,,2,,2,
Azerbaijan,,3,,,3,
Bahrain,,1,1,,2,
Bangladesh,3,3,6,,12,
Barbados,1,,1,,2,
Belarus,,,3,,3,
Belize (British Honduras),1,,,,1,
Bolivia,4,2,1,,7,
Botswana,,,1,,1,
Brazil,1,7,14,,22,
Bulgaria,,,6,,6,
Cameroon,1,2,1,,4,
Canada,5,7,20,,32,
Chile,,1,8,,9,
"China, People's Rep of",12,127,326,,465,
Colombia,2,15,27,,44,
Costa Rica,2,,,,2,
Cote d'Ivoire (Ivory Coast),1,,,,1,
Cyprus,1,,,,1,
Dominica,,,1,,1,
Dominican Republic,1,1,,,2,
Ecuador,1,7,6,,14,
Egypt (A.R.E.),1,1,14,,16,
El Salvador,,1,1,,2,
Equatorial Guinea,2,,,,2,
Estonia,1,,1,,2,
Ethiopia,1,,2,,3,
France,1,5,8,,14,
Germany,,3,8,,11,
Ghana,,2,1,,3,
Greece,,1,2,,3,
Guatemala,2,3,4,,9,
Honduras,3,3,,,6,
