"Summer 2007
Agriculture               AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture    ARCH COSC LAUP
Subtotal Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                 CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering              AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH of Govt                     Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
2
3
2
1
4
7
3
1
1
4
28
4
4
11
11
2
10
2
14
10
3
5
5
10
5
2
5
8
7
3
63","Sophomore
16
26
16
11
8
15
11
1
13
1
3
8
6
135
12
7
2
21
71
71
4
8
24
20
56
17
11
21
9
28
25
10
13
23
3
11
171","Junior
82
126
81
19
17
68
6
25
18
64
14
16
31
16
28
611
49
67
6
122
118
114
116
16
52
87
503
62
18
177
136
393
27
19
40
38
79
39
67
35
47
12
19
422","Senior
85
205
125
54
33
41
13
25
27
132
42
23
80
18
55
958
48
209
8
265
200
4
113
30
90
153
590
148
35
498
274
955
42
33
51
81
136
85
160
42
105
26
8
769","PB
1
1
3
1
2
1
9
1
5
6
1
3
1
5","Total
185
361
225
85
62
134
20
61
48
212
58
42
121
34
93
1,741
113
283
16
412
318
200
229
46
142
240
1,175
216
61
710
437
1,424
96
66
118
133
256
154
240
95
183
48
41
1,430",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,14,16,12,12,,,213,
,,,,,,,,33,33,28,28,,,422,
,,,,,,,2,36,38,16,16,,,279,
,,,,,,,,6,6,5,5,,,96,
,,,,,,,,17,17,26,26,,,105,
,,,,,,,,2,2,1,1,,,137,
,,,,,,,1,10,11,14,14,,,45,
,,,,,,,1,21,22,4,4,,,87,
,,,,,,,,6,6,4,4,,,58,
,,,,,,,,,,,,,,212,
,,,,,,,,5,5,3,3,,,66,
,,,,,,,,3,3,3,3,,,48,
,,,,,,,,6,6,7,7,,,134,
,,,,,,,1,22,23,8,8,,,65,
,,,,,,,4,35,39,29,29,,,161,
,,,,,,,11,216,227,160,160,,,"2,128",
,,,,,,,1,43,44,5,5,,,162,
,,,,,,,,9,9,,,,,292,
,,,,,,,,29,29,4,4,,,49,
,,,,,,,1,81,82,9,9,,,503,
,,,,,,,,84,84,16,16,,,418,
,,,,,,,,11,11,,,,,211,
,,,,,,,,120,120,6,6,,,355,
,,,,,,,,24,24,1,1,,,71,
,,,,,,,,9,9,8,8,,,159,
,,,,,,,,30,30,4,4,,,274,
,,,,,,,,278,278,35,35,,,"1,488",
,,,,,,,,,,,,,,216,
,,,,,,,5,34,39,142,142,,,181,
,,,,,,,1,46,47,55,55,,,163,
,,,,,,,,51,51,22,22,,,783,
,,,,,,,13,143,156,68,68,,,661,
,,,,,,,19,274,293,287,287,,,"2,004",
,,,,,,,,20,20,12,12,,,128,
,,,,,,,1,11,12,7,7,,,85,
,,,,,,,,11,11,9,9,,,138,
,,,,,,,,,,5,5,,,5,
,,,,,,,,14,14,22,22,,,169,
,,,,,,,,43,43,13,13,,,312,
,,,,,,,,15,15,6,6,,,175,
,,,,,,,,,,,,,,240,
,,,,,,,,10,10,5,5,,,110,
,,,,,,,2,48,50,15,15,,,248,
,,,,,,,,27,27,9,9,,,84,
,,,,,,,9,17,26,2,2,,,69,
,,,,,,,12,216,228,105,105,,,"1,763",
,,,,,,,50,16,66,,,,,66,
,,,,,,,50,16,66,,,,,66,
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,,,,
