"Summer 2007
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies        GEST
Subtotal Other - Special         CLMD Populations               COFD
GACD MARS SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
4
4
5","Sophomore
1
1
1
3
4
4
9","Junior
1
1
1
1
4
18","Senior
1
1
1
1
1
2
5
1
1
2
27",PB,"Total
1
1
2
2
1
1
1
1
4
12
1
1
2
8
8
59",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,1,1,1,1,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,1,1,,,5,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,3,3,,,15,
,,,,,,,,,,,,,,1,
,,,,,,,,,,2,2,,,3,
,,,,,,,,,,2,2,,,2,
,,,,,,,,,,4,4,,,6,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,,,,,1,
,,,,,,,,2,2,,,,,2,
,,,,,,,,,,,,,,8,
,,,,,,,,,,,,,,8,
,,,,,,,,12,14,11,11,,,84,
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,,,,
