Summer 2007,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Business,ACCT,239,179,6,3,24,17,11,13,1,1,11,6,1,1,293,219,512,
Admin,AGBU,1,2,,,,,,,,,,,,,1,2,3,
,BUAD,101,107,3,3,7,7,8,5,,,1,10,1,,121,132,253,
,FINC,122,196,,1,12,12,6,12,,,5,13,,2,145,237,382,
,INFO,9,38,,4,2,2,2,3,,,,1,,2,13,50,63,
,MGMT,77,82,2,1,19,10,3,4,1,,5,4,,1,107,102,209,
,MISY,6,18,,,,1,,1,,1,19,35,,,25,56,81,
,MKTG,210,64,3,,15,12,7,,1,,10,10,,,246,86,332,
,MLER,10,27,,,1,4,,,,1,1,,,,12,32,44,
,Subtotal,775,713,14,12,80,65,37,38,3,3,52,79,2,6,963,916,1879,
Education,CPSY,13,7,3,3,2,2,1,1,,,1,,1,,21,13,34,
,EDAD,76,55,13,5,28,11,1,1,1,,1,1,1,1,121,74,195,
,EDCI,169,54,19,4,25,9,5,1,2,2,9,8,,1,229,79,308,
,EDHL,49,6,6,2,4,4,1,2,1,,3,,,,64,14,78,
,EDIS,135,4,5,3,9,1,3,,,,1,,2,,155,8,163,
,EDKI,72,49,3,5,6,3,,2,,1,,,,1,81,61,142,
,EDSM,33,72,5,9,4,6,,,,,,,,,42,87,129,
,EDTC,4,5,,,1,,,,,,,,,,5,5,10,
,EHRD,37,13,8,3,10,4,,3,,,10,4,2,,67,27,94,
,EPSY,48,4,4,1,11,1,,,,1,13,5,,,76,12,88,
,HEED,13,4,2,,1,,2,1,,,2,2,,,20,7,27,
,HLTH,84,16,3,1,14,,2,1,1,,,,,1,104,19,123,
,INST,341,14,4,2,43,6,7,,2,,,,2,,399,22,421,
,ISNC,145,71,7,8,13,21,4,5,,2,,1,1,,170,108,278,
,KINE,132,108,6,3,12,12,2,2,,,3,10,,2,155,137,292,
,PHED,2,3,,,,,,,,,,,,,2,3,5,
,SPMT,52,88,2,2,4,13,2,1,,1,,,,1,60,106,166,
,SPSY,17,4,6,,7,2,3,,,,1,,,,34,6,40,
,TECR,4,1,,,,,,,,,,,,,4,1,5,
,Subtotal,"1,426",578,96,51,194,95,33,20,7,7,44,31,9,7,"1,809",789,2598,
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,,,,,,,,
