"Summer 2007
Agriculture               AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture    ARCH COSC LAUP
Subtotal Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                 CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering              AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH of Govt                     Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
10
2
13
1
1
5
2
11
8
1
4
1
10
42","Sophomore
1
1
1
1","Junior
1
1
1
1
2
1
1
2
4","Senior
1
1
2
2
2
1
1
1
2
3
1
2
3",PB,"Total
1
1
10
1
1
2
16
1
2
3
2
1
1
4
1
1
3
3
8
5
2
11
8
1
5
1
12
45",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,1,1,2,2,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,12,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,,,,,1,
,,,,,,,,1,1,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,2,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,1,1,,,1,
,,,,,,,,3,3,6,6,,,25,
,,,,,,,,1,1,,,,,2,
,,,,,,,,,,,,,,2,
,,,,,,,,3,3,,,,,3,
,,,,,,,,4,4,,,,,7,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,,,,,2,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,,,,1,1,,,1,
,,,,,,,,2,2,2,2,,,8,
,,,,,,,,,,,,,,1,
,,,,,,,,,,4,4,,,4,
,,,,,,,,,,1,1,,,2,
,,,,,,,,,,2,2,,,5,
,,,,,,,,1,1,,,,,4,
,,,,,,,,1,1,7,7,,,16,
,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,11,
,,,,,,,,,,,,,,8,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,5,
,,,,,,,,,,1,1,,,2,
,,,,,,,,2,2,,,,,14,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,2,,,,,2,
,,,,,,,2,2,4,2,2,,,51,
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,,,,
