"Summer 2007
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies        GEST
Subtotal Other - Special         CLMD Populations               COFD
GACD MARS SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
2
1
1
1
1
4
3
1
1
5
2
2
76
76
119","Sophomore
1
1
1
1
2
3
2
3
5
1
1
19
9
2
3
14
2
2
33
33
139","Junior
2
3
1
6
2
9
9
15
4
8
8
16
25
12
108
18
3
21
17
17
21
21
438","Senior
2
1
2
5
2
18
11
8
13
8
13
1
27
5
22
11
139
24
11
5
1
41
43
43
646","PB
3","Total
5
5
4
14
6
28
23
23
20
18
24
1
48
6
49
24
270
54
14
11
2
81
64
64
130
130
1,345",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,2,2,2,2,6,6,7,
,,,,,,,,3,3,,,,,8,
,,,,,,,,,,,,,,6,
,,,,,,,,2,2,,,,,2,
,,,,,,,,7,7,2,2,,,23,
,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,28,
,,,,,,,,2,2,2,2,,,27,
,,,,,,,,1,1,1,1,,,25,
,,,,,,,,1,1,2,2,,,23,
,,,,,,,,1,1,,,,,19,
,,,,,,,,1,1,,,,,25,
,,,,,,,,2,2,1,1,,,4,
,,,,,,,,1,1,4,4,,,53,
,,,,,,,,,,,,,,6,
,,,,,,,,5,5,7,7,,,61,
,,,,,,,,3,3,9,9,,,36,
,,,,,,,,17,17,26,26,,,313,
,,,,,,,,3,4,,,,,58,
,,,,,,,,4,4,15,15,,,33,
,,,,,,,,1,1,1,1,,,13,
,,,,,,,,2,2,5,5,,,9,
,,,,,,,,,,1,1,,,1,
,,,,,,,1,10,11,22,22,,,114,
,,,,,,,,,,,,,,70,
,,,,,,,,1,1,,,,,1,
,,,,,,,,1,1,,,,,1,
,,,,,,,,1,1,4,4,,,5,
,,,,,,,,3,3,4,4,6,6,77,
,,,,,,,,,,,,,,130,
,,,,,,,,,,,,,,130,
,,,,,,,,4,4,4,4,,,8,
,,,,,,,1,,1,,,,,1,
,,,,,,,1,4,5,4,4,,,9,
,,,,,,,14,173,187,185,185,6,6,"1,723",
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,,,,
