Summer 2007,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,153,-8.9%,90,1.1%,99,22.2%,,,342,1.2%,
Gender,Female,55,0.0%,42,13.5%,33,0.0%,,,130,4.0%,
,Male,98,-13.3%,48,-7.7%,66,37.5%,,,212,-0.5%,
Ethnicity,White,126,-11.9%,62,0.0%,31,6.9%,,,219,-6.4%,
,Black,1,-50.0%,1,100.0%,1,0.0%,,,3,0.0%,
,Hispanic,14,0.0%,7,133.3%,2,0.0%,,,23,21.1%,
,Asian,6,20.0%,,,0,-100.0%,,,6,0.0%,
,American Indian,1,0.0%,,,,,,,1,0.0%,
,International,4,33.3%,19,-13.6%,63,34.0%,,,86,19.4%,
,Unknown/Other,1,100.0%,1,-50.0%,2,100.0%,,,4,33.3%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,66,-1.5%,,,,,,,66,-1.5%,
,22-25,74,-9.8%,40,-11.1%,2,-33.3%,,,116,-10.8%,
,26-30,7,-46.2%,33,32.0%,46,24.3%,,,86,14.7%,
,31-39,5,-16.7%,16,0.0%,40,21.2%,,,61,10.9%,
,40+,1,100.0%,1,-66.7%,11,37.5%,,,13,18.2%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,1,-50.0%,,,,,1,-50.0%,
,1st Time Graduate,,,1,-80.0%,2,100.0%,,,3,-40.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,3,100.0%,,,,,,,3,100.0%,
,Readmitted,0,-100.0%,,,,,,,0,-100.0%,
,Continuing,150,-7.4%,88,7.3%,97,19.8%,,,335,3.1%,
Tuition,Resident Tuition,140,-10.3%,43,16.2%,13,-13.3%,,,196,-5.8%,
Status,Non-Resident Tuition,7,40.0%,15,-11.8%,11,10.0%,,,33,3.1%,
,Tuition  Exemption/Waiver,6,-14.3%,32,-8.6%,75,33.9%,,,113,15.3%,
Residency,Texas Resident,143,-10.1%,43,16.2%,15,-11.8%,,,201,-5.6%,
Status,"Non-TX, US Resident",6,0.0%,28,-6.7%,21,23.5%,,,55,3.8%,
,"Non-TX, Non-US Resident",4,33.3%,19,-13.6%,63,34.0%,,,86,19.4%,
SCH,< 6 SCH,58,1.8%,30,-6.3%,17,-19.0%,,,105,-4.5%,
Categories,6-8 SCH,59,-15.7%,59,11.3%,82,36.7%,,,200,9.3%,
,9-11 SCH,15,-40.0%,1,-66.7%,,,,,16,-42.9%,
,12-14 SCH,17,21.4%,0,-100.0%,,,,,17,13.3%,
,15-17 SCH,4,100.0%,,,,,,,4,100.0%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,8,-55.6%,23,21.1%,15,0.0%,,,46,-11.5%,
"TAMU
Status","Half-Time
Three-Quarter Time","47
0","9.3%
-100.0%",1,-50.0%,0,-100.0%,,,"48
0","2.1%
-100.0%",
,Full-Time,98,-7.5%,66,-2.9%,84,31.3%,,,248,4.2%,
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,
