"Summer 2007
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture   ARCH COSC LAUP
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education       CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
275
528
327
141
202
208
76
113
81
280
107
67
172
90
203
2,870
247
380
97
724
512
256
426
144
209
332
1,879
278
289
267
962
802
2,598
224
149
305
10
358
533
495
300
224
488
125
241
3,452
82
82",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,67,146,3,2,4,8,1,1,2,,13,27,,1,90,185,,
,195,227,14,35,19,20,1,7,1,2,2,4,1,,233,295,,
,187,92,3,2,20,7,2,,1,1,5,6,1,,219,108,,
,16,80,,3,4,9,,5,,2,7,15,,,27,114,,
,63,42,7,2,9,7,7,6,,,26,21,9,3,121,81,,
,51,86,14,24,9,10,3,7,,,1,2,,1,78,130,,
,26,19,2,2,7,5,1,2,1,,3,7,1,,41,35,,
,23,64,2,,6,4,,1,,,4,8,,1,35,78,,
,38,20,,,2,2,,,,1,8,10,,,48,33,,
,177,35,5,1,32,8,13,3,1,,3,1,1,,232,48,,
,39,27,5,1,4,14,2,4,,,2,7,1,1,53,54,,
,18,30,1,1,3,3,,,1,,4,5,,1,27,40,,
,70,64,3,3,10,2,,1,2,1,13,2,1,,99,73,,
,12,53,,3,1,2,2,1,,,3,12,1,,19,71,,
,65,96,2,2,10,12,,,1,3,9,2,,1,87,116,,
,"1,047","1,081",61,81,140,113,32,38,10,10,103,129,16,9,"1,409","1,461",,
,84,78,3,4,6,22,6,4,2,1,17,18,1,1,119,128,,
,20,272,,5,4,32,,2,,1,12,30,,2,36,344,,
,14,35,1,,5,7,,1,,,10,21,1,2,31,66,,
,118,385,4,9,15,61,6,7,2,2,39,69,2,5,186,538,,
,239,179,6,3,24,17,11,13,1,,11,6,1,1,293,219,,
,102,109,3,3,7,7,8,5,,,1,10,1,,122,134,,
,132,223,,1,13,16,6,12,,2,6,13,,2,157,269,,
,15,56,,4,2,3,2,4,,1,19,36,,2,38,106,,
,77,82,2,1,19,10,3,4,1,,5,4,,1,107,102,,
,210,64,3,,15,12,7,,1,,10,10,,,246,86,,
,775,713,14,12,80,65,37,38,3,3,52,79,2,6,963,916,,
,145,71,7,8,13,21,4,5,,2,,1,1,,170,108,,
,113,68,21,8,38,15,1,4,1,,11,5,3,1,188,101,,
,141,22,14,5,46,9,5,1,1,1,15,5,2,,224,43,,
,437,346,27,22,45,38,9,9,2,2,8,12,,5,528,434,,
,590,71,27,8,52,12,14,1,3,2,10,8,3,1,699,103,,
,"1,426",578,96,51,194,95,33,20,7,7,44,31,9,7,"1,809",789,,
,21,107,1,5,9,19,2,6,,,6,43,1,4,40,184,,
,42,43,2,1,6,6,6,11,,,6,24,1,1,63,86,,
,35,103,5,3,14,13,9,6,1,,28,77,3,8,95,210,,
,,5,1,,,,,,,,,4,,,1,9,,
,12,157,,9,3,14,2,13,,,29,111,3,5,49,309,,
,56,256,1,6,5,36,,15,1,1,29,126,1,,93,440,,
,12,163,8,19,5,32,3,21,,,40,187,1,4,69,426,,
,32,208,2,9,5,24,3,11,,1,1,4,,,43,257,,
,25,85,4,3,7,19,2,4,,,13,60,1,1,52,172,,
,32,216,8,9,5,34,4,18,,,21,127,2,12,72,416,,
,16,68,1,5,6,8,1,2,,,5,12,1,,30,95,,
,12,57,,5,7,7,2,9,,3,23,114,,2,44,197,,
,295,"1,468",33,74,72,212,34,116,2,5,201,889,14,37,651,"2,801",,
,20,46,,2,4,6,1,,,1,,2,,,25,57,,
,20,46,,2,4,6,1,,,1,,2,,,25,57,,
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,,,,,,,
