Summer 2007,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Other -              AGBU
Special              BIOT
Populations       ENSM
FSTC GACD GENE MARM MDSC MEPS MSEN NUTR PHLT REEP TOXI WMHS",,"1
5","100.0%
-16.7%","16
13
8
13
14
1
8
5
3
9
6
2
4
8","-30.4%
-31.6%
60.0%
18.2%
100.0%
100.0%
300.0%
-50.0%
0.0%
-25.0%
-25.0%
100.0%
-33.3%
100.0%","18
38
25
26
15
20
6","-10.0%
-11.6%
4.2%
44.4%
36.4%
-13.0%
0.0%",,,"16
13
8
31
1
52
1
8
30
29
24
6
7
24
14","-30.4%
-31.6%
60.0%
0.0%
100.0%
4.0%
100.0%
300.0%
-11.8%
38.1%
4.3%
-25.0%
16.7%
-17.2%
40.0%",
,Subtotal,6,0.0%,110,0.0%,148,2.1%,,,264,1.1%,
Total,,"11,924",-6.1%,"2,712",4.5%,"2,538",-1.4%,149,-5.7%,"17,323",-3.9%,
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
