"Summer 2007
Agriculture               AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture    ARCH COSC LAUP
Subtotal Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                 CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering              AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH of Govt                     Subtotal
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal",Undergraduate,,,,,Masters,,,,PhD,,,Professional,Total,
,"1st Time in College
3
3
1
2
2
11
4
4
7
2
9
10
2
2
5
9
5
1
2
5
2
1
44","1st Time PB
1
3
1
1
6
1
1
1
1","1st Time Transfer
11
15
8
1
2
3
1
4
1
2
1
4
53
1
3
1
5
18
1
19
4
3
10
8
25
1
5
1
2
6
3
2
2
22
1
2
3","Readmitted
6
2
1
9
2
2
1
2
1
26
2
4
6
1
1
2
1
5
5
4
2
11
1
1
2
2
3
3
12","Continuing
190
425
246
105
101
191
34
65
52
272
87
46
135
36
97
2,082
144
321
22
487
389
210
267
58
174
273
1,371
269
92
830
481
1,672
133
95
186
166
301
260
294
136
243
60
80
1,954
37
14
56
43
150",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
,,,,,,2,7,1,26,1,2,43,,275,
,,,,,,,,,32,2,,37,,528,
,,,,,,,5,,40,,,24,,327,
,,,,,,,,,16,,,17,,141,
,,,,,,,,,27,,,74,,202,
,,,,,,,,,2,1,,,,208,
,,,,,,1,,,15,,,26,,76,
,,,,,,1,,,25,,,17,,113,
,,,,,,,,,11,,,16,,81,
,,,,,,,,,,,,,,280,
,,,,,,,,,7,,,12,,107,
,,,,,,1,,,6,1,,11,,67,
,,,,,,,,,12,,,22,,172,
,,,,,,1,4,,28,,,19,,90,
,,,,,,1,1,,53,,,44,,203,
,,,,,,7,17,1,300,5,,362,,"2,870",
,,,,,,,8,1,76,,,15,,247,
,,,,,,,1,,51,,,,,380,
,,,,,,,,,53,,,21,,97,
,,,,,,,9,1,180,,,36,,724,
,,,,,,,66,,37,4,,16,,512,
,,,,,,,2,,22,,,,,256,
,,,,,,,67,,76,3,,11,,426,
,,,,,,,16,,66,,,3,,144,
,,,,,,,4,,9,,,20,,209,
,,,,,,,14,,31,1,,12,,332,
,,,,,,,169,,241,8,,62,,"1,879",
,,,,,,,,,,,,,,278,
,,,,,,2,6,,57,19,,203,,289,
,,,,,,,3,,60,2,,107,,267,
,,,,,,,8,,59,1,,42,,962,
,,,,,,8,60,1,126,2,,112,,802,
,,,,,,10,77,1,302,24,2,464,,"2,598",
,,,,,,,3,,39,,,38,,224,
,,,,,,,,,30,,,21,,149,
,,,,,,,1,,34,3,,74,,305,
,,,,,,,,,,,,10,,10,
,,,,,,,1,,79,1,,104,,358,
,,,,,,,10,,97,1,,110,,533,
,,,,,,,2,,104,1,,117,,495,
,,,,,,,,,,,,,,300,
,,,,,,,,,47,1,,35,,224,
,,,,,,,2,,144,1,,88,,488,
,,,,,,,,,38,,,25,,125,
,,,,,,5,7,,101,1,,44,,241,
,,,,,,5,26,,713,9,,666,,"3,452",
,,,,,,26,,,56,,,,,82,
,,,,,,26,,,56,,,,,82,
,,,,,,,,,27,2,,27,,93,
,,,,,,,,,,,,,,14,
,,,,,,1,,,15,,,20,,93,
,,,,,,,,,21,,,25,,91,
,,,,,,,1,,25,,,25,,51,
,,,,,,1,1,,88,2,,97,,342,
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,,,,
