"Summer 2007
Agriculture               AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture    ARCH COSC LAUP
Subtotal Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                 CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering              AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH of Govt                     Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
2
1
1
1
1
7
8
4
2
4
2
1
2
23","Sophomore
2
4
2
2
4
1
2
2
1
20
3
1
1
5
5
5
2
1
3
5
8
2
5
4
2
3
3
1
4
37","Junior
5
7
6
5
2
12
1
2
2
14
6
2
3
2
69
8
9
5
22
10
9
10
1
13
9
52
11
6
20
10
47
5
2
6
2
17
11
12
8
10
1
1
75","Senior
4
26
13
5
4
2
6
3
1
23
10
2
7
1
1
108
8
25
1
34
20
12
3
12
15
62
23
23
51
19
116
5
8
7
5
15
14
15
11
13
4
1
98","PB
1
1
1
3","Total
9
35
23
13
10
19
8
8
3
40
16
4
10
1
5
204
19
35
7
61
30
14
22
4
25
24
119
34
29
73
30
166
23
10
25
11
38
34
29
24
27
9
6
236",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,2,2,1,1,,,12,
,,,,,,,,2,3,1,1,,,39,
,,,,,,,,3,3,1,1,,,27,
,,,,,,,,,,,,,,13,
,,,,,,,,,,6,6,,,16,
,,,,,,,,,,,,,,19,
,,,,,,,,2,2,2,2,,,12,
,,,,,,,,,,2,2,,,10,
,,,,,,,,1,1,,,,,4,
,,,,,,,,,,,,,,40,
,,,,,,,,1,1,1,1,,,18,
,,,,,,,1,,1,1,1,,,6,
,,,,,,,,1,1,1,1,,,12,
,,,,,,,,1,1,1,1,,,3,
,,,,,,,,9,9,8,8,,,22,
,,,,,,,2,22,24,25,25,,,253,
,,,,,,,,8,8,1,1,,,28,
,,,,,,,,1,1,,,,,36,
,,,,,,,,3,3,2,2,,,12,
,,,,,,,,12,12,3,3,,,76,
,,,,,,,,11,11,,,,,41,
,,,,,,,,,,,,,,14,
,,,,,,,,7,7,,,,,29,
,,,,,,,,1,1,,,,,5,
,,,,,,,,2,2,2,2,,,29,
,,,,,,,,3,3,,,,,27,
,,,,,,,,24,24,2,2,,,145,
,,,,,,,,,,,,,,34,
,,,,,,,,6,6,47,47,,,53,
,,,,,,,,9,9,17,17,,,55,
,,,,,,,,7,7,3,3,,,83,
,,,,,,,1,19,20,14,14,,,64,
,,,,,,,1,41,42,81,81,,,289,
,,,,,,,,5,5,,,,,28,
,,,,,,,,,,2,2,,,12,
,,,,,,,,,,2,2,,,27,
,,,,,,,,3,3,3,3,,,17,
,,,,,,,,2,2,1,1,,,41,
,,,,,,,,1,1,2,2,,,37,
,,,,,,,,,,,,,,29,
,,,,,,,,1,1,1,1,,,26,
,,,,,,,,9,9,3,3,,,39,
,,,,,,,,4,4,1,1,,,14,
,,,,,,,1,6,7,1,1,,,14,
,,,,,,,1,31,32,16,16,,,284,
,,,,,,,8,2,10,,,,,10,
,,,,,,,8,2,10,,,,,10,
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,,,,
