Summer 2007,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Agriculture,AGBL,26,18.2%,5,400.0%,44,0.0%,,,26,18.2%,
,AGBU,51,30.8%,,,,,,,56,40.0%,
,AGCJ,51,-7.3%,,,,,,,51,-7.3%,
,AGEC,127,-9.3%,22,-12.0%,,,,,193,-7.7%,
,AGED,,,33,-2.9%,39,39.3%,,,72,16.1%,
,AGEN,40,8.1%,,,,,,,40,8.1%,
,AGLS,203,-1.9%,,,,,,,203,-1.9%,
,AGRO,38,2.7%,12,71.4%,8,-11.1%,,,58,9.4%,
,AGSC,30,-26.8%,,,,,,,30,-26.8%,
,AGSM,60,-18.9%,1,-50.0%,,,,,61,-19.7%,
,ALED,369,-6.8%,7,75.0%,,,,,376,-6.0%,
,ANBR,,,1,0.0%,1,0.0%,,,2,0.0%,
,ANSC,255,-13.3%,38,31.0%,12,-25.0%,,,305,-10.0%,
,BAEN,5,100.0%,15,7.1%,17,6.3%,,,37,23.3%,
,BESC,86,-15.7%,,,,,,,86,-15.7%,
,BICH,70,4.5%,27,42.1%,72,-13.3%,,,169,0.0%,
,BSEN,3,-25.0%,,,,,,,3,-25.0%,
,DASC,1,-80.0%,,,,,,,1,-80.0%,
,ENST,3,50.0%,,,,,,,3,50.0%,
,ENTO,34,-22.7%,16,23.1%,26,-13.3%,,,76,-12.6%,
,FISC,,,0,-100.0%,,,,,0,-100.0%,
,FLOR,0,-100.0%,3,0.0%,,,,,3,-57.1%,
,FORS,4,-33.3%,4,-42.9%,8,14.3%,,,16,-20.0%,
,FSTC,35,25.0%,1,-50.0%,,,,,36,20.0%,
,GENE,31,-46.6%,0,-100.0%,2,100.0%,,,33,-50.0%,
,HORT,54,-19.4%,8,0.0%,15,-6.3%,,,77,-15.4%,
,NRDV,,,2,-71.4%,,,,,2,-71.4%,
,NUSC,245,12.9%,,,,,,,245,12.9%,
,NUTR,,,1,100.0%,,,,,1,100.0%,
,PLBR,,,11,0.0%,9,-18.2%,,,20,-9.1%,
,PLPA,,,7,0.0%,12,-14.3%,,,19,-9.5%,
,PLSC,,,0,-100.0%,,,,,0,-100.0%,
,POSC,48,-22.6%,7,0.0%,12,-25.0%,,,67,-21.2%,
,PPRO,,,0,-100.0%,,,,,0,-100.0%,
,PREP,,,6,50.0%,11,0.0%,,,17,13.3%,
,PSSC,0,-100.0%,,,,,,,0,-100.0%,
,RENR,8,-11.1%,,,,,,,8,-11.1%,
,RLEM,46,-4.2%,22,15.8%,9,-30.8%,,,77,-3.8%,
,RPTS,138,-2.1%,12,9.1%,22,15.8%,,,172,0.6%,
,SOSC,,,10,25.0%,4,0.0%,,,14,16.7%,
,SPSA,14,100.0%,,,,,,,14,100.0%,
,WFSC,103,-27.0%,46,-28.1%,43,7.5%,,,192,-21.6%,
,WISC,,,8,60.0%,1,0.0%,,,9,50.0%,
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,
