Summer 2007,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Geosciences,ATMO,14,7.7%,27,28.6%,29,16.0%,,,56,21.7%,
,ENGS,,,,,,,,,14,7.7%,
,ENST,12,-42.9%,,,,,,,12,-42.9%,
,GEOG,43,-20.4%,15,36.4%,20,100.0%,,,78,4.0%,
,GEOL,37,-2.6%,16,-20.0%,18,5.9%,,,71,-5.3%,
,GEOP,8,14.3%,5,66.7%,7,-12.5%,,,20,11.1%,
,GEOS,,,2,-60.0%,,,,,2,-60.0%,
,METR,37,5.7%,,,,,,,37,5.7%,
,OCNG,,,25,-13.8%,25,19.0%,,,50,0.0%,
,SPSG,2,100.0%,,,,,,,2,100.0%,
,Subtotal,153,-8.9%,90,1.1%,99,22.2%,,,342,1.2%,
Liberal Arts,AMST,4,-60.0%,,,,,,,4,-60.0%,
,ANTH,44,-13.7%,13,-35.0%,9,-25.0%,,,66,-20.5%,
,COML,,,0,-100.0%,,,,,0,-100.0%,
,COMM,261,100.0%,14,100.0%,26,100.0%,,,301,100.0%,
,ECON,197,-6.6%,10,-60.0%,22,-40.5%,,,229,-16.1%,
,ENGL,255,-13.0%,14,40.0%,45,9.8%,,,314,-8.7%,
,FREN,6,20.0%,,,,,,,6,20.0%,
,GERM,1,0.0%,,,,,,,1,0.0%,
,HISP,,,1,100.0%,0,-100.0%,,,1,-66.7%,
,HIST,249,-0.4%,10,-33.3%,9,-43.8%,,,268,-4.6%,
,INTS,174,12.3%,,,,,,,174,12.3%,
,JOUR,0,-100.0%,,,,,,,0,-100.0%,
,MODL,,,1,0.0%,,,,,1,0.0%,
,MUSC,7,-12.5%,,,,,,,7,-12.5%,
,PHIL,32,-15.8%,4,-33.3%,6,20.0%,,,42,-14.3%,
,POLS,378,-3.6%,13,225.0%,48,-9.4%,,,439,-2.2%,
,PSYC,370,-14.7%,25,-13.8%,37,-15.9%,,,432,-14.8%,
,RUSS,3,0.0%,,,,,,,3,0.0%,
,SCOM,0,-100.0%,0,-100.0%,0,-100.0%,,,0,-100.0%,
,SOCI,145,3.6%,15,87.5%,32,39.1%,,,192,12.3%,
,SPAN,37,-21.3%,,,,,,,37,-21.3%,
,TCMS,37,32.1%,,,,,,,37,32.1%,
,THAR,13,-23.5%,,,,,,,13,-23.5%,
,Subtotal,"2,213",-6.2%,120,-8.4%,234,-11.0%,,,"2,567",-6.8%,
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,
