Summer 2007,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
"Other -                 AGBU
Special                BIOT
Populations         ENSM FSTC GACD GENE MARM MDSC MEPS MSEN NUTR PHLT REEP TOXI WMHS",,"3
1
1
7
16
1
1
6
8
2
7
2","4
2
1
4
1
15
5
2
3
3
5
5","3
1","2
1","2
1
1
1","1
1
1
1","1
1
2
1
1","1
1",,,"7
4
1
11
9
4
12
4
8
4
8
1","1
5
4
8
7
2
5
18
2
3
2
3",1,1,"11
5
2
19
27
1
5
20
8
19
3
4
16
4","5
8
6
12
1
25
3
10
21
5
3
3
8
10","16
13
8
31
1
52
1
8
30
29
24
6
7
24
14",
,Subtotal,55,50,4,3,5,4,6,2,,,73,60,1,1,144,120,264,
Grand Total,,"5,840","5,982",336,301,866,857,273,331,44,40,690,"1,569",79,115,"8,128","9,195",17323,
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
