Summer 2007,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Engineering      AERL
AERO BMEL BMEN CECL CECN CEEL CEEN CHEL CHEN CPEN CPSC CPSL CVEL CVEN ELEL ELEN ENGR ENSM ENTC ENTL HLPH IDIL IDIS INEL INEN ITDE MEEL MEEN NUEL NUEN OCEL OCEN PETE PETL RHEL RHEN",,"56
88
38
60
18
43
22
40
86
107
68
44
37
212
73
136
61
45
27
167
34
107
49
204
21
31
6
60
29
54
6
4","16.7%
2.3%
5.6%
-20.0%
-25.0%
26.5%
22.2%
-9.1%
91.1%
9.2%
-4.2%
29.4%
32.1%
-13.1%
40.4%
-21.8%
-11.6%
18.4%
-46.0%
16.8%
13.3%
13.8%
-27.9%
-12.1%
10.5%
14.8%
-25.0%
13.2%
0.0%
54.3%
200.0%
-69.2%","42
30
15
21
35
0
65
96
85
0
13
47
146
25
11
113","-4.5%
15.4%
50.0%
61.5%
-12.5%
-100.0%
10.2%
14.3%
44.1%
-100.0%
44.4%
9.3%
47.5%
78.6%
0.0%
21.5%","38
21
17
10
77
6
85
94
105
6
0
36
4
89
25
17
45","15.2%
0.0%
-22.7%
-33.3%
13.2%
-14.3%
-2.3%
3.3%
1.9%
-33.3%
-100.0%
-26.5%
-20.0%
-12.7%
25.0%
-5.6%
4.7%",,,"56
168
38
111
18
75
22
71
86
219
6
218
44
37
402
73
326
6
0
61
45
13
27
167
34
190
4
49
439
21
81
6
88
187
54
6
4","16.7%
3.1%
5.6%
-9.0%
-25.0%
13.6%
22.2%
-1.4%
91.1%
6.3%
-25.0%
0.5%
29.4%
32.1%
-4.1%
40.4%
-3.0%
-33.3%
-100.0%
-11.6%
18.4%
30.0%
-46.0%
16.8%
13.3%
2.2%
-20.0%
-27.9%
1.4%
10.5%
32.8%
-25.0%
7.3%
13.3%
54.3%
200.0%
-69.2%",
,Subtotal,"2,033",0.6%,744,22.6%,675,-2.7%,,,"3,452",3.9%,
G. Bush,BUSH,,,9,12.5%,,,,,9,12.5%,
"School of
Govt",CAIA CHLS,,,"42
17","223.1%
325.0%",,,,,"42
17","223.1%
325.0%",
,INTA,,,14,-17.6%,,,,,14,-17.6%,
,Subtotal,,,82,95.2%,,,,,82,95.2%,
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,
,,,,,,,,,,,,
