Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Philippines,,4,1,,5,
Poland,3,,2,,5,
Portugal,1,,1,,2,
Qatar,6,1,,,7,
Romania,,,3,,3,
Russia,1,6,11,,18,
Rwanda,,,2,,2,
Saudi Arabia,7,5,8,,20,
Serbia,,5,1,,6,
Singapore,,2,1,,3,
Slovakia,2,,,,2,
South Africa,2,,2,,4,
Spain,,2,,,2,
Sri Lanka (Ceylon),2,5,5,,12,
Sudan,,,1,,1,
Sweden,,,1,,1,
Taiwan,4,38,60,,102,
Thailand,2,7,14,,23,
Togo,,1,,,1,
Trinidad & Tobago,,1,1,,2,
Tunisia,,1,1,,2,
Turkey,,12,44,,56,
Turkmenistan,1,,,,1,
Uganda,,,1,,1,
Ukraine,,1,8,,9,
United Arab Emirates,1,1,,,2,
United Kingdom,2,1,3,,6,
United States,"11,694","1,869","1,324",149,"15,036",
Uruguay,2,,2,,4,
Uzbekistan,,,1,,1,
Venezuela,5,9,7,,21,
Viet Nam Socialist Republic,4,3,6,,13,
Zambia,,1,,,1,
Zimbabwe (Rhodesia),,,2,,2,
