"Summer 2007
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine                  VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies        GEST
Subtotal
Other - Special         CLMD Populations               COFD GACD
MARS SABX SRPH
Subtotal
University                Total",Undergraduate,,,,,Masters,,,,PhD,,,Professional,Total,
,"1st Time in College
1
2
1
1
1
6
4
1
5
2
2
281
281
362","1st Time PB
1
1
1
1
10","1st Time Transfer
1
5
3
1
2
2
7
5
3
29
4
4
4
4
164","Readmitted
1
3
3
4
2
5
4
2
24
4
4
5
5
1
1
94","Continuing
44
175
287
194
251
10
35
242
30
365
20
360
140
2,153
373
94
69
19
555
464
464
400
400
1
5
6
11,294",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
,,,,,,1,1,1,13,2,1,9,149,66,
,,,,,,,,,,,,,,178,
,,,,,,,,,14,,,26,,338,
,,,,,,,,,10,,,22,,229,
,,,,,,,,,13,,,45,,314,
,,,,,,,,,,,,,,10,
,,,,,,,,,2,,,,,39,
,,,,,,,,,10,,,8,,268,
,,,,,,,,,4,,,6,,42,
,,,,,,,,,12,,,48,,439,
,,,,,,,,,,,,,,20,
,,,,,,,,,25,,,37,,432,
,,,,,,,,,15,,,32,,192,
,,,,,,1,1,,118,,1,233,,"2,567",
,,,,,,1,,,26,,,49,,461,
,,,,,,,,,85,,,135,,314,
,,,,,,3,2,,22,,,59,,156,
,,,,,,,,,30,,,87,,137,
,,,,,,3,,,26,,,30,,61,
,,,,,,7,2,,189,2,,360,,"1,129",
,,,,,,2,,,3,,,1,,626,
,,,,,,,,,17,,,15,,32,
,,,,,,,,,3,,,,,3,
,,,,,,,,,2,,,,,2,
,,,,,,,2,,17,,1,28,,49,
,,,,,,,,,6,1,,11,,18,
,,,,,,2,2,1,48,1,1,55,149,730,
,,,,,,,,,,,,,,686,
,,,,,,,,,,,,,,686,
,,,,,,7,,,1,,,,,8,
,,,,,,,3,,90,,,148,,241,
,,,,,,,,,,,,,,1,
,,,,,,,,,1,,,,,1,
,,,,,,2,,,,,,,,7,
,,,,,,6,,,,,,,,6,
,,,,,,15,3,,92,,,148,,264,
,,,,,,74,307,4,"2,327",51,4,"2,483",149,"17,323",
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,,,,
