Top 10,,,,,,,
Summer 2007 Feeder Patterns First Time In College,,,,,,,
State,Students  % Total,,,,,,
Texas,346,,95.6%,,,,
Florida,3,,0.8%,,,,
Colorado,2,,0.6%,,,,
Louisiana,2,,0.6%,,,,
Virginia,2,,0.6%,,,,
Vermont,1,,0.3%,,,,
Tennessee,1,,0.3%,,,,
Pennsylvania,1,,0.3%,,,,
Maine,1,,0.3%,,,,
Kansas,1,,0.3%,,,,
Country            Students  % Total,,,,,,,
United States                           362      100.0%,,,,,,,
,,,,,,,
Texas County   Students  % Total,,,,,,,
Harris,,63,,17.4%,,,
Bexar,,29,,8.0%,,,
Dallas,,23,,6.4%,,,
Hidalgo,,12,,3.3%,,,
Brazos,,11,,3.0%,,,
Tarrant,,11,,3.0%,,,
Cameron,,10,,2.8%,,,
Collin,,10,,2.8%,,,
Fort Bend,,10,,2.8%,,,
Montgomery,,10,,2.8%,,,
