Summer 2007,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Architecture,ARCH,30,-34.8%,3,50.0%,6,-33.3%,3,-25.0%,1,0.0%,26,-31.6%,0,-100.0%,68,-32.0%,
,COMG,9,0.0%,1,0.0%,1,-50.0%,0,-100.0%,,,41,141.2%,,,52,67.7%,
,COSC,216,-8.5%,3,0.0%,21,-19.2%,1,-66.7%,,,,,2,0.0%,244,-10.0%,
,COSL,67,-22.1%,1,0.0%,14,40.0%,1,0.0%,,,1,100.0%,0,-100.0%,84,-15.2%,
,ENDL,31,-32.6%,0,-100.0%,5,-54.5%,2,-71.4%,1,100.0%,2,0.0%,0,-100.0%,41,-39.7%,
,ENDS,82,-7.9%,3,200.0%,14,0.0%,3,-25.0%,2,100.0%,1,-50.0%,1,100.0%,106,-3.6%,
,LAND,14,-22.2%,0,-100.0%,4,100.0%,,,,,4,33.3%,1,100.0%,23,-4.2%,
,LANL,7,-50.0%,,,5,66.7%,,,,,,,,,12,-29.4%,
,LDEV,18,157.1%,0,-100.0%,0,-100.0%,1,0.0%,,,6,200.0%,1,-50.0%,26,73.3%,
,URPL,5,66.7%,,,1,100.0%,,,,,7,-12.5%,1,0.0%,14,16.7%,
,URSC,5,0.0%,1,0.0%,2,100.0%,,,,,14,7.7%,0,-100.0%,22,4.8%,
,VIZA,19,-5.0%,1,0.0%,3,-25.0%,2,-50.0%,,,6,20.0%,1,100.0%,32,-5.9%,
,Subtotal,503,-13.1%,13,0.0%,76,-9.5%,13,-50.0%,4,300.0%,108,20.0%,7,-22.2%,724,-9.7%,
Business,ACCT,418,2.0%,9,200.0%,41,41.4%,24,-7.7%,1,-50.0%,17,88.9%,2,0.0%,512,6.4%,
Admin,AGBU,3,-25.0%,,,0,-100.0%,,,,,,,,,3,-40.0%,
,BUAD,208,-10.0%,6,-25.0%,14,-48.1%,13,8.3%,0,-100.0%,11,-38.9%,1,0.0%,253,-15.4%,
,BUAG,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,FINC,318,1.3%,1,-83.3%,24,9.1%,18,50.0%,1,-66.7%,18,20.0%,2,100.0%,382,2.7%,
,INFO,47,-28.8%,4,33.3%,4,-20.0%,5,150.0%,0,-100.0%,1,-85.7%,2,0.0%,63,-27.6%,
,MGMT,159,-22.1%,3,-57.1%,29,26.1%,7,-41.7%,1,100.0%,9,50.0%,1,0.0%,209,-17.4%,
,MISY,24,-46.7%,,,1,-66.7%,1,-80.0%,1,100.0%,54,20.0%,,,81,-17.3%,
,MKTG,274,-10.2%,3,0.0%,27,8.0%,7,-30.0%,1,0.0%,20,53.8%,0,-100.0%,332,-7.3%,
,MLER,37,-5.1%,,,5,150.0%,,,1,100.0%,1,0.0%,0,-100.0%,44,-6.4%,
,Subtotal,"1,488",-8.1%,26,-13.3%,145,5.8%,75,-5.1%,6,-40.0%,131,14.9%,8,-33.3%,"1,879",-6.1%,
Education,CPSY,20,11.1%,6,100.0%,4,0.0%,2,0.0%,,,1,-50.0%,1,100.0%,34,17.2%,
,EDAD,131,-5.8%,18,28.6%,39,2.6%,2,100.0%,1,-50.0%,2,-60.0%,2,-33.3%,195,-3.0%,
,EDCI,223,3.7%,23,-20.7%,34,13.3%,6,-14.3%,4,100.0%,17,-5.6%,1,-80.0%,308,1.3%,
,EDHL,55,17.0%,8,33.3%,8,100.0%,3,200.0%,1,-50.0%,3,200.0%,,,78,27.9%,
,EDIS,139,-28.0%,8,0.0%,10,-44.4%,3,0.0%,0,-100.0%,1,100.0%,2,100.0%,163,-27.2%,
,EDKI,121,-23.9%,8,-50.0%,9,-55.0%,2,-60.0%,1,0.0%,,,1,100.0%,142,-29.4%,
,EDSM,105,5.0%,14,40.0%,10,-16.7%,0,-100.0%,,,0,-100.0%,0,-100.0%,129,2.4%,
,EDTC,9,80.0%,,,1,-66.7%,0,-100.0%,,,0,-100.0%,,,10,-16.7%,
,EHRD,50,-26.5%,11,-15.4%,14,-44.0%,3,200.0%,,,14,-17.6%,2,100.0%,94,-24.8%,
,EPSY,52,-38.8%,5,-16.7%,12,-36.8%,,,1,100.0%,18,12.5%,0,-100.0%,88,-30.7%,
,HEED,17,41.7%,2,-66.7%,1,0.0%,3,200.0%,,,4,33.3%,0,-100.0%,27,8.0%,
,HLTH,100,-25.4%,4,-42.9%,14,-6.7%,3,-25.0%,1,100.0%,0,-100.0%,1,0.0%,123,-24.1%,
,INST,355,-17.6%,6,-25.0%,49,-27.9%,7,16.7%,2,100.0%,,,2,100.0%,421,-18.1%,
,ISNC,216,0.5%,15,7.1%,34,17.2%,9,50.0%,2,100.0%,1,-50.0%,1,100.0%,278,4.5%,
,KINE,240,-3.6%,9,28.6%,24,4.3%,4,-42.9%,0,-100.0%,13,30.0%,2,-33.3%,292,-2.7%,
,PHED,5,66.7%,,,,,,,,,0,-100.0%,,,5,25.0%,
,SPMT,140,45.8%,4,300.0%,17,41.7%,3,100.0%,1,100.0%,,,1,100.0%,166,52.3%,
,SPSY,21,90.9%,6,0.0%,9,50.0%,3,-25.0%,,,1,100.0%,,,40,48.1%,
,TECR,5,0.0%,,,,,,,,,,,,,5,0.0%,
,Subtotal,"2,004",-8.3%,147,-4.5%,289,-11.6%,53,6.0%,14,75.0%,75,-6.3%,16,-11.1%,"2,598",-7.9%,
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,,,,,,,
