"Summer 2007
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies        GEST
Subtotal Other - Special         CLMD Populations               COFD
GACD MARS SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
2
2
1
1
1
2
2
9
3
23
13
3
1
1
18
11
11
215
215
388","Sophomore
4
1
1
6
2
15
20
3
15
3
17
3
30
3
20
4
135
21
9
6
1
37
36
36
162
162
1
1
831","Junior
15
4
11
16
46
13
48
100
56
62
3
4
62
8
95
2
103
35
591
81
16
10
6
113
84
84
76
76
2,961","Senior
11
9
34
17
71
20
73
133
92
141
4
9
131
18
173
6
156
57
1,013
153
20
37
8
218
200
200
5,039","PB
2
2
1
1
3
1
4
27","Total
32
13
46
35
126
37
138
255
152
219
7
18
212
29
307
11
282
96
1,763
271
48
55
16
390
331
331
453
453
1
1
9,246",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,23,23,5,5,134,134,60,
,,,,,,,,,,,,,,13,
,,,,,,,,8,9,9,9,,,64,
,,,,,,,1,10,11,6,6,,,52,
,,,,,,,,19,19,11,11,,,30,
,,,,,,,2,60,62,31,31,,,219,
,,,,,,,,10,10,7,7,,,54,
,,,,,,,,,,,,,,138,
,,,,,,,,10,10,18,18,,,283,
,,,,,,,,4,4,4,4,,,160,
,,,,,,,1,10,11,31,31,,,261,
,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,18,
,,,,,,,,8,8,8,8,,,228,
,,,,,,,,2,2,4,4,,,35,
,,,,,,,,9,9,25,25,,,341,
,,,,,,,,,,,,,,11,
,,,,,,,,15,15,20,20,,,317,
,,,,,,,1,5,6,13,13,,,115,
,,,,,,,2,73,75,130,130,,,"1,968",
,,,,,,,1,12,13,25,25,,,309,
,,,,,,,1,36,37,50,50,,,135,
,,,,,,,5,17,22,18,18,,,95,
,,,,,,,,12,12,18,18,,,46,
,,,,,,,3,9,12,9,9,,,21,
,,,,,,,10,86,96,120,120,,,606,
,,,,,,,1,1,2,1,1,,,468,
,,,,,,,,14,14,5,5,,,19,
,,,,,,,,2,2,,,,,2,
,,,,,,,,1,1,,,,,1,
,,,,,,,,12,12,11,11,,,23,
,,,,,,,,3,3,3,3,,,6,
,,,,,,,1,33,34,20,20,134,134,519,
,,,,,,,,,,,,,,453,
,,,,,,,,,,,,,,453,
,,,,,,,1,,1,,,,,1,
,,,,,,,,48,48,49,49,,,97,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,,,,,1,
,,,,,,,5,,5,,,,,5,
,,,,,,,6,49,55,49,49,,,105,
,,,,,,,114,"1,382","1,496",946,946,134,134,"11,822",
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,,,,
