"Summer 2007
Agriculture               AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture    ARCH COSC LAUP
Subtotal Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                 CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering              AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH of Govt                     Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
4
2
1
1
9
1
1
8
1
9
3
1
6
1
1
1
13","Sophomore
1
8
18
1
1
29
2
2
8
2
10
3
1
3
1
1
6
2
1
1
1
1
21","Junior
1
19
1
1
11
2
3
3
1
2
44
1
1
2
5
3
2
1
11
6
2
12
3
23
2
1
3
5
4
1
1
1
1
19","Senior
1
13
2
3
1
7
1
2
3
1
34
2
3
5
3
1
2
1
2
9
9
16
6
31
2
1
1
4
4
2
3
17",PB,"Total
3
41
3
3
6
38
3
6
6
1
2
1
3
116
3
4
7
8
6
1
4
1
3
23
15
2
44
12
73
5
3
4
5
6
21
11
4
6
3
2
70",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,1,1,,,5,
,,,,,,,,,,8,8,,,49,
,,,,,,,,,1,1,1,,,5,
,,,,,,,,,,,,,,3,
,,,,,,,,3,3,,,,,9,
,,,,,,,,,,,,,,38,
,,,,,,,,1,1,,,,,4,
,,,,,,,,,,2,2,,,2,
,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,6,
,,,,,,,,1,1,,,,,2,
,,,,,,,,3,3,1,1,,,6,
,,,,,,,,1,1,1,1,,,3,
,,,,,,,,1,1,,,,,4,
,,,,,,,1,11,12,14,14,,,142,
,,,,,,,,4,4,,,,,7,
,,,,,,,,1,1,,,,,5,
,,,,,,,,,,1,1,,,1,
,,,,,,,,5,5,1,1,,,13,
,,,,,,,,1,1,,,,,9,
,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,4,
,,,,,,,,,,2,2,,,3,
,,,,,,,,,,,,,,3,
,,,,,,,,1,1,2,2,,,26,
,,,,,,,,,,,,,,15,
,,,,,,,3,7,10,19,19,,,29,
,,,,,,,,6,6,11,11,,,19,
,,,,,,,,2,2,3,3,,,49,
,,,,,,,3,3,6,17,17,,,35,
,,,,,,,6,18,24,50,50,,,147,
,,,,,,,,1,1,,,,,6,
,,,,,,,,,,,,,,3,
,,,,,,,,3,3,1,1,,,8,
,,,,,,,,,,1,1,,,1,
,,,,,,,,2,2,2,2,,,9,
,,,,,,,,,,1,1,,,7,
,,,,,,,,4,4,2,2,,,27,
,,,,,,,,,,,,,,11,
,,,,,,,,2,2,1,1,,,7,
,,,,,,,,10,10,1,1,,,17,
,,,,,,,,1,1,2,2,,,6,
,,,,,,,,2,2,1,1,,,5,
,,,,,,,,25,25,12,12,,,107,
,,,,,,,2,,2,,,,,2,
,,,,,,,2,,2,,,,,2,
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,,,,
