Top 10,,,,,,,,,
Summer 2007  Feeder Patterns Texas A&M University Campus,,,,,,,,,
Country,,,Students  % Total,,,,,,
United States,,,15036,,,,86.8%,,
India,,,580,,,,3.3%,,
"China, People's Rep of",,,465,,,,2.7%,,
"Korea, Republic of",,,272,,,,1.6%,,
Taiwan,,,102,,,,0.6%,,
Mexico,,,84,,,,0.5%,,
Turkey,,,56,,,,0.3%,,
Colombia,,,44,,,,0.3%,,
Nigeria,,,44,,,,0.3%,,
Indonesia,,,41,,,,0.2%,,
State,Students  % Total,,,,,,,,
Texas,13842,,,79.9%,,,,,
California,105,,,0.6%,,,,,
Louisiana,97,,,0.6%,,,,,
Florida,68,,,0.4%,,,,,
Illinois,62,,,0.4%,,,,,
Pennsylvania,53,,,0.3%,,,,,
Virginia,49,,,0.3%,,,,,
New York,45,,,0.3%,,,,,
Oklahoma,45,,,0.3%,,,,,
New Mexico,34,,,0.2%,,,,,
Texas County   Students  % Total,,,,,,,,,
Harris,,2439,,,14.1%,,,,
Brazos,,1506,,,8.7%,,,,
Bexar,,769,,,4.4%,,,,
Dallas,,746,,,4.3%,,,,
Tarrant,,647,,,3.7%,,,,
Fort Bend,,555,,,3.2%,,,,
Montgomery,,409,,,2.4%,,,,
Travis,,407,,,2.3%,,,,
Collin,,330,,,1.9%,,,,
Denton,,254,,,1.5%,,,,
