"Summer 2007
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine         VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal
Other - Special        CLMD
Populations    COFD GACD MARS SABX SRPH
Subtotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
93
14
93
91
51
342
66
178
338
229
314
10
39
268
42
439
20
432
192
2,567
461
314
156
137
61
1,129
626
32
3
2
49
18
730
686
686
8
241
1
1
7
6
264
17,323",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,19,41,,,3,4,,,,,7,17,,2,29,64,,
,8,5,,,,,,,,,,,1,,9,5,,
,29,35,1,2,4,4,,4,,1,5,7,,1,39,54,,
,15,37,,,2,4,,2,,,8,23,,,25,66,,
,19,11,,,1,1,,,,,8,11,,,28,23,,
,90,129,1,2,10,13,,6,,1,28,58,1,3,130,212,,
,32,22,1,,2,4,2,,,,,2,,1,37,29,,
,92,46,1,1,16,12,5,1,2,,1,1,,,117,61,,
,214,69,8,,21,6,3,2,2,,2,4,6,1,256,82,,
,43,117,1,1,7,18,3,10,1,,10,18,,,65,164,,
,210,51,11,2,16,7,4,2,2,,6,3,,,249,65,,
,3,4,,1,,,1,,,,,,,1,4,6,,
,12,6,,,11,8,,,,,,1,1,,24,15,,
,85,143,3,2,7,18,,3,,,,,2,5,97,171,,
,7,28,,,1,3,,,1,,,1,,1,9,33,,
,136,205,10,5,20,33,4,6,,1,6,8,,5,176,263,,
,7,4,1,2,2,4,,,,,,,,,10,10,,
,236,81,22,8,49,12,8,2,5,,5,2,1,1,326,106,,
,72,43,13,4,25,11,6,1,,1,5,1,3,7,124,68,,
,"1,149",819,71,26,177,136,36,27,13,2,35,41,13,22,"1,494","1,073",,
,180,129,12,2,30,28,19,27,,1,21,12,,,262,199,,
,57,78,3,4,16,17,10,8,1,2,36,66,8,8,131,183,,
,38,57,2,,4,9,1,,,,10,33,2,,57,99,,
,8,38,,1,1,8,1,7,2,,11,60,,,23,114,,
,11,10,1,,,1,1,1,,,16,20,,,29,32,,
,294,312,18,7,51,63,32,43,3,3,94,191,10,8,502,627,,
,309,159,6,6,47,23,35,16,,,2,,10,13,409,217,,
,17,2,,,,1,1,1,1,,3,6,,,22,10,,
,2,,,,,1,,,,,,,,,2,1,,
,1,,,,,,,,,,1,,,,2,,,
,16,7,2,,3,2,2,,1,,6,9,,1,30,19,,
,5,1,1,,,,,,,,5,5,,1,11,7,,
,350,169,9,6,50,27,38,17,2,,17,20,10,15,476,254,,
,221,232,25,28,68,62,18,17,2,6,4,,1,2,339,347,,
,221,232,25,28,68,62,18,17,2,6,4,,1,2,339,347,,
,1,,,,,,,1,,,4,2,,,5,3,,
,51,46,4,3,4,4,6,1,,,65,55,1,1,131,110,,
,,1,,,,,,,,,,,,,,1,,
,1,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,4,3,,,4,3,,
,2,3,,,1,,,,,,,,,,3,3,,
,55,50,4,3,5,4,6,2,,,73,60,1,1,144,120,,
,"5,840","5,982",336,301,866,857,273,331,44,40,690,"1,569",79,115,"8,128","9,195",,
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,,,,,,,
