Office of Institutional Studies and Planning,,,,,
for the Corps of Cadets,,,,,
Summer 2007,,,,,
Official Combined Summer Data – Not Certified,,,,,
Summer 2007,,Not in Corps,In Corps,Grand Total,
Head Count,Total,"16,625",698,"17,323",
Gender,Female,"8,037",91,"8,128",
,Male,"8,588",607,"9,195",
Ethnicity,White,"11,276",546,"11,822",
,Black,622,15,637,
,Hispanic,"1,622",101,"1,723",
,Asian,584,20,604,
,American Indian,77,7,84,
,International,"2,252",7,"2,259",
,Unknown/Other,192,2,194,
TAMU Age,<18,6,,6,
Categories,18-21,"5,950",302,"6,252",
,22-25,"6,613",365,"6,978",
,26-30,"2,172",26,"2,198",
,31-39,"1,355",4,"1,359",
,40+,529,1,530,
College,Agriculture,"2,730",140,"2,870",
,Architecture,673,51,724,
,Business Admin,"1,833",46,"1,879",
,Education,"2,544",54,"2,598",
,Engineering,"3,312",140,"3,452",
,G. Bush School of Govt,80,2,82,
,Geosciences,321,21,342,
,Liberal Arts,"2,405",162,"2,567",
,Science,"1,106",23,"1,129",
,Veterinary Medicine,719,11,730,
,General Studies,639,47,686,
,Other - Special Populations,263,1,264,
Enrollment,1st Time in College,354,8,362,
Status,1st Time PB,82,2,84,
,1st Time Graduate,352,6,358,
,1st Time Transfer,162,2,164,
,Readmitted,100,2,102,
,Continuing,"15,575",678,"16,253",
Tuition,Resident Tuition,"13,089",598,"13,687",
Status,Non-Resident Tuition,885,7,892,
,Tuition Exemption/Waiver,"2,651",93,"2,744",
Residency,Texas Resident,"13,237",605,"13,842",
Status,"Non-TX, US Resident","1,124",86,,
,"Non-TX, Non-US Resident","2,264",7,"2,271",
SCH,< 6 SCH,"5,764",166,"5,930",
Categories,6-8 SCH,"7,292",279,"7,571",
,9-11 SCH,"2,193",132,"2,325",
,12-14 SCH,"1,265",108,"1,373",
,15-17 SCH,97,10,107,
,>17 SCH,14,3,17,
Ft/Pt:,Less Than Half Time,"1,658",29,"1,687",
TAMU,Half-Time,"4,300",154,"4,454",
Status,Three-Quarter Time,46,2,48,
,Full-Time,"10,621",513,"11,134",
"Prepared by OISP, 09 Aug 07",,,,,
