Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Engineering,AERO,,8,3,7,,18,,3,3,4,4,,,25
,BMEN,,3,4,6,,13,,3,3,4,4,,,20
,CHEN,2,3,4,23,,32,,2,2,6,6,,,40
,CLEN,,,,,,,,,,1,1,,,1
,CSCE,5,1,10,16,,32,,3,3,1,1,,,36
,CVEN,6,4,17,28,,55,,7,7,,,,,62
,ECEN,3,6,17,18,,44,,2,2,5,5,,,51
,ETID,,3,11,29,,43,,,,,,,,43
,ISEN,1,2,11,34,3,51,,6,6,1,1,,,58
,MEEN,7,6,11,27,1,52,,11,11,3,3,,,66
,NUEN,,3,10,6,,19,,6,6,,,,,25
,PETE,1,,6,3,,10,,16,16,2,2,,,28
,Subtotal,25,39,104,197,4,369,,59,59,27,27,,,455
"G. Bush School of Govt Geosciences
Liberal Arts",BUSH,,,,,,,7,4,11,,,,,11
,Subtotal,,,,,,,7,4,11,,,,,11
,ATMO,,1,2,2,,5,,1,1,,,,,6
,CLGE,,,1,2,,3,,,,,,,,3
,GEOG,,1,4,4,,9,,3,3,1,1,,,13
,GEPL,4,1,2,14,,21,,,,1,1,,,22
,OCNG,,,,,,,,3,3,1,1,,,4
,Subtotal,4,3,9,22,,38,,7,7,3,3,,,48
,ANTH,,2,4,14,,20,,,,,,,,20
,CLLA,2,6,13,36,,57,,,,,,,,57
,COMM,,3,8,12,,23,,,,2,2,,,25
,ECON,,1,17,12,,30,,1,1,,,,,31
,ENGL,,1,13,17,,31,,,,8,8,,,39
,EURO,,,3,,,3,,,,,,,,3
,HISP,,1,6,10,,17,,,,13,13,,,30
,HIST,,1,15,18,,34,,,,1,1,,,35
,PHUM,1,1,,2,,4,,,,2,2,,,6
,POLS,1,3,20,14,,38,,1,1,2,2,,,41
,PRFM,,1,,3,,4,,,,,,,,4
,PSYC,1,4,30,56,,91,,1,1,12,12,,,104
,SOCI,,4,10,27,,41,,3,3,14,14,,,58
,Subtotal,5,28,139,221,,393,,6,6,54,54,,,453
