Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Engineering,AERO,,1,3,5,,9,,,,,,,,9
,BMEN,1,1,1,6,,9,,3,3,3,3,,,15
,CHEN,,4,4,15,,23,,5,5,,,,,28
,CLEN,,,,,,,,,,3,3,,,3
,CSCE,1,2,5,7,,15,,2,2,1,1,,,18
,CVEN,,,3,3,,6,,4,4,4,4,,,14
,ECEN,2,1,8,18,,29,,3,3,5,5,,,37
,ETID,,,2,9,,11,,,,,,,,11
,ISEN,,,3,9,1,13,,3,3,2,2,,,18
,MEEN,,,4,10,,14,,5,5,3,3,,,22
,NUEN,1,1,2,1,,5,,1,1,3,3,,,9
,PETE,,1,6,5,,12,,7,7,1,1,,,20
,Subtotal,5,11,41,88,1,146,,33,33,25,25,,,204
"G. Bush School of Govt Geosciences
Liberal Arts",BUSH,,,,,,,2,2,4,,,,,4
,Subtotal,,,,,,,2,2,4,,,,,4
,ATMO,,,,1,,1,,,,,,,,1
,CLGE,,,,3,,3,,,,,,,,3
,GEOG,,,1,,,1,,,,,,,,1
,GEPL,1,2,1,5,,9,,,,1,1,,,10
,OCNG,,,,,,,,,,1,1,,,1
,Subtotal,1,2,2,9,,14,,,,2,2,,,16
,ANTH,,,,1,,1,,,,,,,,1
,CLLA,,2,1,6,,9,,,,,,,,9
,COMM,1,,2,3,,6,,,,,,,,6
,ECON,,1,7,8,,16,,,,,,,,16
,ENGL,,,5,3,,8,,,,,,,,8
,EURO,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,
,HIST,1,,2,,,3,,,,,,,,3
,PHUM,,,1,2,,3,,,,,,,,3
,POLS,1,3,4,5,,13,,,,1,1,,,14
,PRFM,,,,,,,,,,,,,,
,PSYC,,,8,16,1,25,,3,3,3,3,,,31
,SOCI,,,1,5,1,7,,,,1,1,,,8
,Subtotal,3,6,31,49,2,91,,3,3,5,5,,,99
