Summer 2012,,Undergraduate,,,,Masters,,,,PhD,,,Professional,Total,
,,1st Time in College,1st Time Transfer,Readmitted,Continuing,1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
Geosciences,ATMO,,,,25,,1,,22,,,24,,72,
,CLGE,,,,39,,,,,,,,,39,
,GEOG,,1,,63,,,1,13,,,15,,93,
,GEPL,16,,1,99,1,2,,28,,,31,,178,
,OCNG,,,,,,1,,25,,,32,,58,
,Subtotal,16,1,1,226,1,4,1,88,,,102,,440,
Liberal Arts,ANTH,,,1,64,,,,5,,,11,,81,
,CLLA,,3,4,240,,,,,,,,,247,
,COMM,2,6,2,227,,,,2,,,22,,261,
,ECON,4,4,4,223,,,,50,,,21,,306,
,ENGL,,1,6,182,,,,1,,,32,,222,
,EURO,,,,19,,,,,,,,,19,
,HISP,,,2,28,,,,,,,17,,47,
,HIST,1,3,1,191,,,,2,,,13,,211,
,PHUM,,,,27,,,,2,,,9,,38,
,POLS,,3,2,193,,6,,5,,,24,,233,
,PRFM,1,,,20,,,,,,,,,21,
,PSYC,,4,3,453,,,,20,1,,64,,545,
,SOCI,1,3,1,178,,,,11,1,,37,,232,
,Subtotal,9,27,26,"2,045",,6,,98,2,,250,,"2,463",
Science,BIOL,2,3,,286,,,,12,,,47,,350,
,CHEM,,,1,78,,,,45,1,,192,,317,
,CLSC,,,,12,,,,,,,,,12,
,MATH,1,1,,94,1,7,,41,,,84,,229,
,PHYS,2,,,38,,,,43,2,,106,,191,
,STAT,,,,,16,13,,50,,,33,,112,
,Subtotal,5,4,1,508,17,20,,191,3,,462,,"1,211",
"Veterinary Medicine
General Studies
Other - Special Populations
University",CLVM,2,,1,374,,10,,6,1,,4,163,561,
,VIBS,,,,,,1,,16,,,16,,33,
,VLCS,,,,,,,,7,,,1,,8,
,VSCS,,,,,,,,4,1,,5,,10,
,VTPB,,,,,,,,15,,,23,,38,
,VTPP,,,,,,,,9,1,,21,,31,
,Subtotal,2,,1,374,,11,,57,3,,70,163,681,
,GEST,390,,,459,,,,,,,,,849,
,Subtotal,390,,,459,,,,,,,,,849,
,CLMD,,,,,1,,,3,,,,,4,
,GACD,,,,2,,,,,,,,,2,
,MARS,,,,1,,,,,,,,,1,
,MEEN,,,,1,,,,,,,,,1,
,SABX,,,,5,,,,,,,,,5,
,SRPH,,,,,3,,,4,,,,,7,
,Subtotal,,,,9,4,,,7,,,,,20,
,Total,486,147,87,10925,71,344,4,2348,47,3,2645,163,17270,
"Prepared by DARS, 22 Aug 12",,,,,,,,,,,,,,,
