Summer 2012,,Undergrad uate,Masters,PhD,Profession al,Total
Engineering,INEL,38,,,,38
,INEN,200,59,30,,289
,ITDE,,,1,,1
,MEEL,31,,,,31
,MEEN,244,81,141,,466
,MSEN,,12,58,,70
,NUEL,14,,,,14
,NUEN,73,51,33,,157
,OCEL,6,,,,6
,OCEN,33,21,15,,69
,PETE,66,161,89,,316
,PETL,42,,,,42
,RHEL,5,,,,5
,RHEN,24,,,,24
,SENG,,5,,,5
,USEN,1,,,,1
,WMHS,,,1,,1
,Subtotal,"2,152",792,872,,"3,816"
