Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Engineering,CEEL,,,2,,,2,,,,,,,,2
,CEEN,,,2,,,2,,,,,,,,2
,CHEL,2,3,2,,,7,,,,,,,,7
,CHEN,,,2,23,,25,,,,6,6,,,31
,CPSC,,,4,6,,10,,2,2,1,1,,,13
,CPSL,1,,3,2,,6,,,,,,,,6
,CVEL,6,1,2,1,,10,,,,,,,,10
,CVEN,,1,14,24,,39,,7,7,,,,,46
,ELEL,3,6,6,2,,17,,,,,,,,17
,ELEN,,,7,16,,23,,2,2,5,5,,,30
,ENGR,,,,,,,,,,1,1,,,1
,ENSM,,,,,,,,1,1,,,,,1
,ENTC,,,4,7,,11,,,,,,,,11
,ENTL,,3,5,4,,12,,,,,,,,12
,HLPH,,,,,,,,,,,,,,
,IDIL,,,,1,,1,,,,,,,,1
,IDIS,,,2,17,,19,,,,,,,,19
,INEL,1,1,5,2,1,10,,,,,,,,10
,INEN,,1,6,32,2,41,,5,5,1,1,,,47
,ITDE,,,,,,,,,,,,,,
,MEEL,7,4,,,,11,,,,,,,,11
,MEEN,,2,11,27,1,41,,11,11,3,3,,,55
,MSEN,,,,,,,,,,,,,,
,NUEL,,1,,,,1,,,,,,,,1
,NUEN,,1,8,4,,13,,6,6,,,,,19
,OCEL,,1,1,,,2,,,,,,,,2
,OCEN,,1,,3,,4,,,,,,,,4
,PETE,,,4,3,,7,,16,16,2,2,,,25
,PETL,1,,2,,,3,,,,,,,,3
,RHEL,,,,1,,1,,,,,,,,1
,RHEN,,1,2,1,,4,,,,,,,,4
,SENG,,,,,,,,,,,,,,
,USEN,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,
,Subtotal,25,39,104,197,4,369,,59,59,27,27,,,455
