Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Agriculture,PSSC,,,,,,,,,,,,,,
,RENR,,,,,,,,,,,,,,
,RLEM,,,,,,,,,,,,,,
,RPTS,,,1,,,1,,,,,,,,1
,SOSC,,,,,,,,,,,,,,
,SPSA,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,
,USAL,,,,,,,,,,,,,,
,WFSC,,,,,,,,1,1,,,,,1
,WISC,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,
,Subtotal,,,7,4,,11,,1,1,1,1,,,13
Architecture,ARCH,,,,,,,,,,,,,,
,COMG,,,,,,,,,,,,,,
,COSC,,,,1,,1,,,,,,,,1
,COSL,,,1,,,1,,,,,,,,1
,ENDL,,,,,,,,,,,,,,
,ENDS,,,,,,,,,,,,,,
,LAND,,,,,,,,,,,,,,
,LANL,,,,,,,,,,,,,,
,LDEV,,,,,,,,,,,,,,
,URPL,,,,,,,,,,,,,,
,URSC,,,,,,,,,,,,,,
,USAR,,,,,,,,,,,,,,
,VISL,,,,,,,,,,,,,,
,VIST,,,,,,,,,,,,,,
,Subtotal,,,1,1,,2,,,,,,,,2
Business Admin,ACCT,,,,,,,,,,,,,,
,AGBU,,,,,,,,,,,,,,
,BHNR,,,,1,,1,,,,,,,,1
,BUAD,,,,,,,,,,,,,,
,FINC,,,,,,,,,,,,,,
,INFO,,,,2,,2,,,,,,,,2
,MGMT,,,,,,,,,,,,,,
,MISY,,,,,,,,,,,,,,
,MKTG,,,,,,,,,,,,,,
