International,,,,,,,,,,,,,,,,
Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,AGEC,,1,1,1,,3,,15,15,20,20,,,38,
,ALEC,,,1,3,,4,,2,2,1,1,,,7,
,ANSC,,,,,,,,3,3,5,5,,,8,
,BAEN,,1,1,1,,3,,6,6,21,21,,,30,
,BCBP,,,3,2,,5,,14,14,34,34,,,53,
,CLAG,,,,,,,,,,,,,,,
,ENTO,,,,,,,,1,1,8,8,,,9,
,ESSM,,,,,,,,5,5,9,9,,,14,
,HRSC,,,,,,,,2,2,11,11,,,13,
,NFSC,,1,,2,,3,,5,5,8,8,,,16,
,PLPM,,,,2,,2,,3,3,8,8,,,13,
,POSC,,,,,,,,3,3,4,4,,,7,
,RPTS,,,,1,,1,,1,1,5,5,,,7,
,SCSC,,,,,,,,5,5,29,29,,,34,
,WFSC,,,,,,,,2,2,6,6,,,8,
,Subtotal,,3,6,12,,21,,67,67,169,169,,,257,
Architecture,ARCH,,1,,,,1,,9,9,13,13,,,23,
,CLAR,,,,,,,,,,,,,,,
,COSC,,,2,1,,3,,10,10,,,,,13,
,LAUP,,1,,,,1,,22,22,5,5,,,28,
,VIZA,,,,,,,,11,11,,,,,11,
,Subtotal,,2,2,1,,5,,52,52,18,18,,,75,
Business Admin,ACCT,,,,7,,7,,8,8,,,,,15,
,CLBA,,,,,,,,16,16,,,,,16,
,FINC,,,1,1,,2,,3,3,6,6,,,11,
,INFO,,,,3,,3,,73,73,7,7,,,83,
,MGMT,,,,,,,,1,1,5,5,,,6,
,MKTG,,,,,,,,6,6,6,6,,,12,
,Subtotal,,,1,11,,12,,107,107,24,24,,,143,
Education,CLED,,,,,,,,,,,,,,,
,EAHR,,,,,,,,5,5,9,9,,,14,
,EPSY,,,,,,,,3,3,16,16,,,19,
,HLKN,,1,3,2,,6,,4,4,16,16,,,26,
,TLAC,,,,,,,,11,11,10,10,,,21,
,Subtotal,,1,3,2,,6,,23,23,51,51,,,80,
