Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Liberal Arts,PSYC,,1,10,12,,23,,2,2,1,1,,,26
,RUSS,,,,,,,,,,,,,,
,SOCI,2,5,6,14,,27,,3,3,8,8,,,38
,SPAN,,,,,,,,,,,,,,
,TCMS,1,,1,,,2,,,,,,,,2
,THAR,1,,,,,1,,,,,,,,1
,USLA,,,,,,,,,,,,,,
,WGST,,,,1,,1,,,,,,,,1
,Subtotal,9,16,32,54,,111,,6,6,17,17,,,134
"Science
Veterinary Medicine
General Studies",APHY,,,,,,,,,,,,,,
,APMS,,,,,,,,,,,,,,
,BIOL,2,2,3,4,,11,,,,,,,,11
,BMCB,,,,,,,,,,,,,,
,CHEM,,,,1,,1,,1,1,5,5,,,7
,MATH,1,,,2,,3,,,,1,1,,,4
,MBIO,,,1,1,,2,,,,,,,,2
,MSEN,,,,,,,,,,,,,,
,PHYS,1,,,,,1,,1,1,1,1,,,3
,STAT,,,,,,,1,3,4,,,,,4
,USSC,,,,1,,1,,,,,,,,1
,ZOOL,,,,1,,1,,,,,,,,1
,Subtotal,4,2,4,10,,20,1,5,6,7,7,,,33
,BIMS,3,1,5,7,,16,,2,2,,,,,18
,BIOT,,,,,,,,,,,,,,
,GENE,,,,,,,,,,,,,,
,LAMD,,,,,,,,,,,,,,
,STJR,,,,,,,,,,,,,,
,TOXI,,,,,,,,2,2,,,,,2
,VPAT,,,,,,,,,,,,,,
,VPHY,,,,,,,,,,,,,,
,VTMD,,,,,,,,,,,,2,2,2
,VTMI,,,,,,,,,,2,2,,,2
,Subtotal,3,1,5,7,,16,,4,4,2,2,2,2,24
,GEST,25,19,2,,,46,,,,,,,,46
,TEAM,,3,,,,3,,,,,,,,3
,Subtotal,25,22,2,,,49,,,,,,,,49
