Top 10,,,,,,,,,
Summer 2012  Feeder Patterns Undergraduate Transfer,,,,,,,,,
Texas County     Students   % Total,,,,,,,,,
Brazos,,32,,,21.8%,,,,
Harris,,16,,,10.9%,,,,
Tarrant,,10,,,6.8%,,,,
Bexar,,9,,,6.1%,,,,
Fort Bend,,6,,,4.1%,,,,
Travis,,6,,,4.1%,,,,
Dallas,,4,,,2.7%,,,,
Denton,,4,,,2.7%,,,,
Montgomery,,4,,,2.7%,,,,
Brazoria,,3,,,2.0%,,,,
State,Students   % Total,,,,,,,,
Texas,141,,,95.9%,,,,,
California,2,,,1.4%,,,,,
Idaho,1,,,0.7%,,,,,
Country,,,Students   % Total,,,,,,
United States,,,143,,,,97.3%,,
Other Foreign or US,,,1,,,,0.7%,,
"Korea, Republic of",,,1,,,,0.7%,,
India,,,1,,,,0.7%,,
Honduras,,,1,,,,0.7%,,
Page 151,,,,,,,,,
