Summer 2012,,Undergrad uate,Masters,PhD,Profession al,Total
Liberal Arts,ANTH,65,5,11,,81
,CLSS,1,,,,1
,COMM,194,2,22,,218
,ECON,235,50,21,,306
,ENGL,189,1,32,,222
,FREN,8,,,,8
,GERM,3,,,,3
,HISP,,,17,,17
,HIST,196,2,13,,211
,INTS,234,,,,234
,MUSC,12,,,,12
,NRSC,,3,10,,13
,NUTR,,1,,,1
,PHIL,27,2,9,,38
,POLS,198,11,24,,233
,PSYC,460,17,55,,532
,RUSS,7,,,,7
,SOCI,183,10,38,,231
,SPAN,30,,,,30
,TCMS,43,,,,43
,THAR,9,,,,9
,USLA,6,,,,6
,WGST,7,,,,7
,Subtotal,"2,107",104,252,,"2,463"
