Summer 2012,,White Only (NEW),"American Indian Only
(NEW)",Asian Only (NEW),"Black Only
+ 2 or more/1 Black (NEW)","Hispanic or Latino of any Race
(NEW)",Native Hawaii Only (New),2 or More/Excl uding Black (NEW),Internatio nal,Unknown or Not Reported,Total
Agriculture,ADEV,8,,,,1,,,,,9
,AGBL,21,,,,,,1,1,,23
,AGBU,69,,,2,7,,2,9,2,91
,AGCJ,124,2,1,7,3,,7,3,,147
,AGEC,114,,,,15,,2,28,,159
,AGLS,32,,1,4,7,,1,,,45
,AGRO,41,,1,,7,,1,3,,53
,AGSC,42,,,,8,,1,,,51
,AGSM,43,,,,8,,,3,,54
,ALEC,65,,,7,4,,1,3,1,81
,ALED,191,4,1,38,32,,3,1,,270
,ANBR,3,,,1,,,,,,4
,ANSC,252,3,3,4,34,,6,3,1,306
,BAEN,43,1,6,2,21,,4,24,,101
,BESC,46,,7,6,31,,1,2,8,101
,BICH,65,1,13,8,14,,3,47,9,160
,CDEV,13,,1,,3,,,,,17
,DASC,1,,,,,,,,,1
,ECOR,6,,,,1,,,,,7
,ENST,11,,,,4,,,,,15
,ENTO,43,,3,1,15,,1,9,10,82
,FISC,,,,,1,,,,,1
,FIVL,2,,,,1,,,,,3
,FIVS,13,,2,,4,,,,,19
,FORS,8,,,1,1,,,6,,16
,FSTC,42,,2,4,9,,4,13,,74
,GENE,34,,4,1,8,,1,8,1,57
,HORT,68,,1,,6,,1,11,,87
,MEPS,4,,1,1,2,,,10,,18
,NRDV,14,,,1,3,,1,,,19
,NUSC,118,,12,9,24,1,5,2,,171
,NUTR,16,,2,,1,,,8,,27
,PLBR,24,,,,,,,17,,41
