Summer 2012,,Undergrad uate,Masters,PhD,Profession al,Total
Agriculture,FSTC,45,18,11,,74
,GENE,23,11,23,,57
,HORT,63,10,14,,87
,MEPS,,4,14,,18
,NRDV,,19,,,19
,NUSC,171,,,,171
,NUTR,,15,12,,27
,PLBR,,13,28,,41
,PLPA,,7,20,,27
,POSC,43,14,5,,62
,PREP,,2,5,,7
,PSSC,1,,,,1
,RENR,25,,,,25
,RLEM,19,10,18,,47
,RPTS,213,5,12,,230
,SOSC,,7,10,,17
,SPSA,9,,,,9
,TOXI,,,2,,2
,USAL,42,,,,42
,WFSC,84,24,30,,138
,WISC,,10,,,10
,WMHS,,2,3,,5
,Subtotal,"2,138",373,421,,"2,932"
